taxonomy	UCS.0002.UA_S1_L001	UCS.0002.UA_S1_L002	UCS.0007.UA_S2_L001	UCS.0007.UA_S2_L002	UCS.0010.UA_S3_L001	UCS.0010.UA_S3_L002	UCS.0016.UA_S4_L001	UCS.0016.UA_S4_L002	UCS.0018.UA_S5_L001	UCS.0018.UA_S5_L002	UCS.0020.BAL_S12_L001	UCS.0020.BAL_S12_L002	UCS.0025.BAL_S8_L001	UCS.0025.BAL_S8_L002	UCS.0040.BKG_S16_L001	UCS.0040.BKG_S16_L002	UCS.0047.BAL_S7_L001	UCS.0047.BAL_S7_L002	UCS.0064.BAL_S6_L001	UCS.0064.BAL_S6_L002	UCS.0069.BKG_S17_L001	UCS.0069.BKG_S17_L002	UCS.0070.BKG_S18_L001	UCS.0070.BKG_S18_L002	UCS.0081.BAL_S9_L001	UCS.0081.BAL_S9_L002	UCS.0085.BKG_S20_L001	UCS.0085.BKG_S20_L002	UCS.0136.BKG_S19_L001	UCS.0136.BKG_S19_L002	UCS.0147.BAL_S11_L001	UCS.0147.BAL_S11_L002	UCS.0163.BAL_S10_L001	UCS.0163.BAL_S10_L002	UCS.0191.BAL_S13_L001	UCS.0191.BAL_S13_L002	UCS.0192.BAL_S14_L001	UCS.0192.BAL_S14_L002	UCS.0194.BAL_S15_L001	UCS.0194.BAL_S15_L002
Staphylococcus epidermidis	1013017	997127	2487983	2470871	3845	3790	2161015	2113542	519594	505966	69	103	238144	235007	1011	1003	14	17	21	26	1121	1053	712	636	338	297	668	540	438	450	22	22	28	35	345	325	1555	1635	685	680
Staphylococcus aureus	297218	278888	1232116	1161170	359465	336854	951435	877269	159507	149465	125501	119081	395553	373609	596672	554470	150595	142025	265436	246789	1207316	1140056	2399995	2273145	352615	328887	1202548	1093859	600872	569678	401519	373245	258467	237821	406304	373656	216279	201473	895832	809812
Staphylococcus capitis	5560	5255	27384	27568	22	24	1093	939	74	69	5	6	203	200	266	215	2	3	4	7	688	615	400	488	6	4	179	184	38	42	2	5	8	10	11	9	4	3	3	5
Staphylococcus hominis	2521	2475	15739	15509	4948	4986	6427	6194	961	875	6	17	209	201	470	461	8	10	5	11	285	332	204	209	5	16	112	85	129	102	10	7	8	8	9	9	8	5	3	10
Staphylococcus haemolyticus	2258	2323	5527	5346	69	69	8825	8287	19395	19537	21	9	329	347	347	336	2	6	2	6	880	868	66	61	32	35	192	187	77	77	5	6	9	10	13	9	8	4	4	8
Staphylococcus equorum	1912	1896	1145	1102	8	3	254	270	314	347	1	2	36	25	22	9	2	5	4	3	13	10	2	4	3	5	12	14	14	14	2	2	1	3	6	6	2	4	0	3
Staphylococcus pasteuri	1536	1489	2593	2496	8	2	1007	1070	310	285	7	3	79	73	195	173	4	6	5	4	180	155	175	178	10	9	51	80	51	79	3	5	17	23	7	5	3	2	7	2
Staphylococcus lugdunensis	1166	1108	957	998	14	19	26067	25755	276	264	4	3	115	110	24	22	4	2	3	3	19	15	8	6	3	2	1	11	0	6	4	5	2	3	6	7	2	11	2	5
Staphylococcus warneri	1147	1238	48	48	4	1	488	473	302	335	2	0	10	12	40	38	3	2	4	1	101	85	20	18	2	1	25	20	19	23	1	0	1	1	1	2	8	9	4	3
Staphylococcus caprae	987	908	532	531	8	2	444	418	111	107	4	4	121	112	41	27	0	1	3	2	43	22	12	20	4	5	11	10	3	7	0	2	5	2	2	4	0	3	2	3
Staphylococcus pseudintermedius	544	576	90	126	3	8	162	146	24	18	0	1	13	25	2	8	0	0	1	2	1	4	5	3	0	3	1	0	4	0	2	1	1	3	4	3	0	0	4	3
Staphylococcus simulans	468	453	3421	3470	7	14	7211	6893	125	133	3	2	17	23	6	2	0	2	1	0	43	37	2	5	2	0	1	3	0	0	2	1	1	7	1	3	5	5	1	0
Staphylococcus xylosus	431	465	469	394	7	13	382	383	96	86	5	7	54	51	38	46	10	11	6	4	47	76	25	18	2	7	5	17	1	8	10	27	10	6	5	7	8	8	2	2
Staphylococcus succinus	267	255	27	47	8	11	330	299	96	108	3	3	18	21	35	46	2	2	1	2	35	29	21	11	1	3	8	11	5	7	4	1	5	2	0	3	1	0	4	2
Staphylococcus cohnii	190	193	505	424	32	28	561	596	44	26	228775	198852	45	56	69	69	4	5	4	9	163	149	85	74	4	6	119	98	41	44	4	6	5	9	9	11	2	6	6	9
Staphylococcus saprophyticus	161	202	70	116	20	16	552	514	298	342	2	5	11	19	12	19	3	2	3	2	52	30	12	11	2	1	47	48	8	5	5	5	1	2	5	8	3	3	2	2
Staphylococcus simiae	144	138	53	64	20	15	235	243	99	86	4	4	17	23	3	2	1	1	1	6	13	8	5	10	4	5	5	5	2	2	2	3	3	4	7	6	5	2	2	1
