UCS.0002.UA_S1_L001	UCS.0002.UA_S1_L002	UCS.0007.UA_S2_L001	UCS.0007.UA_S2_L002	UCS.0010.UA_S3_L001	UCS.0010.UA_S3_L002	UCS.0016.UA_S4_L001	UCS.0016.UA_S4_L002	UCS.0018.UA_S5_L001	UCS.0018.UA_S5_L002	UCS.0020.BAL_S12_L001	UCS.0020.BAL_S12_L002	UCS.0025.BAL_S8_L001	UCS.0025.BAL_S8_L002	UCS.0040.BKG_S16_L001	UCS.0040.BKG_S16_L002	UCS.0047.BAL_S7_L001	UCS.0047.BAL_S7_L002	UCS.0064.BAL_S6_L001	UCS.0064.BAL_S6_L002	UCS.0069.BKG_S17_L001	UCS.0069.BKG_S17_L002	UCS.0070.BKG_S18_L001	UCS.0070.BKG_S18_L002	UCS.0081.BAL_S9_L001	UCS.0081.BAL_S9_L002	UCS.0085.BKG_S20_L001	UCS.0085.BKG_S20_L002	UCS.0136.BKG_S19_L001	UCS.0136.BKG_S19_L002	UCS.0147.BAL_S11_L001	UCS.0147.BAL_S11_L002	UCS.0163.BAL_S10_L001	UCS.0163.BAL_S10_L002	UCS.0191.BAL_S13_L001	UCS.0191.BAL_S13_L002	UCS.0192.BAL_S14_L001	UCS.0192.BAL_S14_L002	UCS.0194.BAL_S15_L001	UCS.0194.BAL_S15_L002
Staphylococcus epidermidis	0.468128082869757	0.478569351081179	0.49871531820179	0.505787795896703	0.000943603899378694	0.000972134121676821	0.0772364193244394	0.0791240944008995	0.274155337490384	0.279545404318327	7.55470592486024e-05	0.000122158915703232	0.224427443507697	0.230076236182376	0.000361748026576851	0.00038207544294848	5.57535692240298e-05	7.15635800312354e-05	5.40223498178675e-05	7.15510337748399e-05	0.000401248344089963	0.000396327590158881	0.000185076780870131	0.000173591303839916	0.000706561616144724	0.000663444011580114	0.000324256733666781	0.0002863729434843	0.000416391765710233	0.00045040626645234	4.45359455689771e-05	4.76651652139624e-05	7.37914022474753e-05	9.94956989430714e-05	0.000377221919108313	0.000384634502543322	0.0052045505510799	0.00583274470772063	0.000672184137239394	0.000735538289635508
Staphylococcus aureus	0.137348230616449	0.133851805421303	0.24697721929833	0.237691735004124	0.0882165346398341	0.0864029729349139	0.0340050543933976	0.032842079869235	0.0841612786465561	0.0825791730203982	0.137409151924041	0.141231124668511	0.372770040655233	0.365770179287686	0.213496457481368	0.211215723680602	0.599729196949483	0.597871614937424	0.682832211726451	0.679154156702268	0.432144108647027	0.429093681981171	0.623853017843273	0.620437428250292	0.737113089576544	0.734673773187033	0.583733961912455	0.580095595531097	0.571228659922007	0.570192313466747	0.812819469495914	0.808672026831155	0.681165798739221	0.676061903381148	0.444251520641693	0.442218429791777	0.723881021631518	0.718740412537369	0.879071620483855	0.875952549126927
Staphylococcus capitis	0.00256934695148833	0.002522128013715	0.00548911317868242	0.00564317520310866	5.39903401465052e-06	6.15599443805903e-06	3.90647016895358e-05	3.51530864503495e-05	3.9044898467435e-05	3.81223894450706e-05	5.47442458323206e-06	7.11605334193585e-06	0.000191307658526196	0.000195803730256865	9.51780168837214e-05	8.19005186778895e-05	7.96479560343283e-06	1.26288670643357e-05	1.02899713938795e-05	1.92637398624569e-05	0.000246261249539602	0.000231473378867723	0.000103975719589961	0.000133195843197923	1.25425138960602e-05	8.93527288323385e-06	8.68891546801702e-05	9.75789288909465e-05	3.61253130068239e-05	4.20379182022184e-05	4.04872232445246e-06	1.08329920940824e-05	2.10832577849929e-05	2.84273425551633e-05	1.20273655367868e-05	1.06514169935074e-05	1.33879113854145e-05	1.07022838673773e-05	2.94387213389515e-06	5.40836977673168e-06
Staphylococcus hominis	0.00116498627062987	0.00118787189989432	0.00315487702013156	0.00317469545215511	0.00121429183202231	0.00127890784450676	0.000229706164463538	0.000231883085701241	0.000507056046313581	0.000483436098035316	6.56930949987847e-06	2.01621511354849e-05	0.000196962072078694	0.000196782748908149	0.000168171683967478	0.000175609949351196	3.18591824137313e-05	4.20962235477855e-05	1.28624642423494e-05	3.02715912124323e-05	0.000102012290870329	0.000124957986640787	5.30276169908803e-05	5.70449410417334e-05	1.04520949133835e-05	3.57410915329354e-05	5.43663984591009e-05	4.50772225854916e-05	0.000122635930996849	0.00010209208706253	2.02436116222623e-05	1.51661889317153e-05	2.10832577849929e-05	2.27418740441306e-05	9.84057180282556e-06	1.06514169935074e-05	2.67758227708291e-05	1.78371397789622e-05	2.94387213389515e-06	1.08167395534634e-05
Staphylococcus haemolyticus	0.00104345061447134	0.00111491976705232	0.00110788520809881	0.00109432728655756	1.69333339550403e-05	1.76984840094197e-05	0.000315412618856499	0.000310238154860539	0.0102334568348095	0.0107941611969325	2.29925832495746e-05	1.06740800129038e-05	0.000310050343128662	0.000339719471995661	0.000124160796461095	0.000127993368724516	7.96479560343283e-06	2.52577341286713e-05	5.14498569693976e-06	1.65117770249631e-05	0.000314985319178561	0.000326697386759647	1.71559937323436e-05	1.66494803997404e-05	6.68934074456543e-05	7.81836377282962e-05	9.31995402156016e-05	9.91698896880815e-05	7.32012921454063e-05	7.70695167040671e-05	1.01218058111312e-05	1.29995905128988e-05	2.37186650081171e-05	2.84273425551633e-05	1.4214159270748e-05	1.06514169935074e-05	2.67758227708291e-05	1.42697118231697e-05	3.92516284519354e-06	8.65339164277069e-06
Staphylococcus equorum	0.000883559599144907	0.000909981867555403	0.000229514847706375	0.000225579623978009	1.96328509623655e-06	7.69499304757378e-07	9.07816489400009e-06	1.01079162317299e-05	0.000165677001605062	0.000191716944020862	1.09488491664641e-06	2.37201778064528e-06	3.39264813149904e-05	2.44754662821081e-05	7.87186605805215e-06	3.42839380512095e-06	7.96479560343283e-06	2.10481117738928e-05	1.02899713938795e-05	8.25588851248153e-06	4.65319221513784e-06	3.76379477833695e-06	5.19878597949807e-07	1.09176920654035e-06	6.27125694803009e-06	1.11690911040423e-05	5.8249712634751e-06	7.42448371996332e-06	1.33093258446193e-05	1.40126394007395e-05	4.04872232445246e-06	4.33319683763295e-06	2.63540722312412e-06	8.52820276654898e-06	6.5603812018837e-06	7.10094466233825e-06	6.69395569270727e-06	1.42697118231697e-05	0	3.24502186603901e-06
Staphylococcus pasteuri	0.000709805200986703	0.000714642932906115	0.000519765938954262	0.000510931707304092	1.96328509623655e-06	5.12999536504919e-07	3.59909923159768e-05	4.00572976590777e-05	0.000163566466552768	0.000157462043360074	7.66419441652488e-06	3.55802667096793e-06	7.4449778441229e-05	7.14683615437558e-05	6.97733582418259e-05	6.5901347587325e-05	1.59295912068657e-05	2.52577341286713e-05	1.28624642423494e-05	1.10078513499754e-05	6.44288152865239e-05	5.83388190642228e-05	4.54893773206081e-05	4.85837296910457e-05	2.0904189826767e-05	2.01043639872762e-05	2.47561278697692e-05	4.24256212569333e-05	4.84839727196847e-05	7.90713223327441e-05	6.07308348667869e-06	1.08329920940824e-05	4.480192279311e-05	6.53828878768755e-05	7.65377806886432e-06	5.91745388528187e-06	1.00409335390609e-05	7.13485591158487e-06	6.8690349790887e-06	2.16334791069267e-06
Staphylococcus lugdunensis	0.000538823479394854	0.000531782652558748	0.000191830313759826	0.000204290802840338	3.43574891841397e-06	4.87349559679673e-06	0.000931655607448427	0.000964182898326679	0.000145626918608271	0.000145859577007227	4.37953966658565e-06	3.55802667096793e-06	0.000108376259756219	0.000107692051641276	8.5874902451478e-06	8.38051819029567e-06	1.59295912068657e-05	8.41924470955711e-06	7.71747854540964e-06	8.25588851248153e-06	6.8008193913553e-06	5.64569216750543e-06	2.07951439179923e-06	1.63765380981053e-06	6.27125694803009e-06	4.46763644161693e-06	4.85414271956258e-07	5.83352292282833e-06	0	6.0054168860312e-06	8.09744464890492e-06	1.08329920940824e-05	5.27081444624823e-06	8.52820276654898e-06	6.5603812018837e-06	8.28443543939462e-06	6.69395569270727e-06	3.92417075137168e-05	1.96258142259677e-06	5.40836977673168e-06
Staphylococcus warneri	0.000530043336934732	0.000594175924068348	9.62158313528908e-06	9.82560975584793e-06	9.81642548118277e-07	2.56499768252459e-07	1.74415136546144e-05	1.77075717689194e-05	0.000159345396448181	0.000185086963247807	2.18976983329282e-06	0	9.42402258749734e-06	1.17482238154119e-05	1.4312483741913e-05	1.44754405105107e-05	1.19471934051492e-05	8.41924470955711e-06	1.02899713938795e-05	2.75196283749384e-06	3.6151724132994e-05	3.19922556158641e-05	5.19878597949807e-06	4.91296142943159e-06	4.1808379653534e-06	2.23381822080846e-06	1.21353567989065e-05	1.06064053142333e-05	1.80626565034119e-05	2.30207647297863e-05	2.02436116222623e-06	0	2.63540722312412e-06	2.84273425551633e-06	1.09339686698062e-06	2.36698155411275e-06	2.67758227708291e-05	3.21068516021319e-05	3.92516284519354e-06	3.24502186603901e-06
Staphylococcus caprae	0.000456105295165284	0.00043579300408244	0.000106639213082787	0.000108695807924068	1.96328509623655e-06	5.12999536504919e-07	1.58689181611655e-05	1.56485517957892e-05	5.85673477011525e-05	5.91173285597472e-05	4.37953966658565e-06	4.74403556129057e-06	0.000114030673308718	0.000109650088943844	1.46702958354608e-05	1.02851814153629e-05	0	4.20962235477855e-06	7.71747854540964e-06	5.50392567498768e-06	1.53913280962252e-05	8.28034851234129e-06	3.11927158769884e-06	5.45884603270176e-06	8.36167593070679e-06	1.11690911040423e-05	5.33955699151884e-06	5.30320265711666e-06	2.85199839527557e-06	7.00631970036973e-06	0	4.33319683763295e-06	1.31770361156206e-05	5.68546851103265e-06	2.18679373396123e-06	4.7339631082255e-06	0	1.07022838673773e-05	1.96258142259677e-06	3.24502186603901e-06
