taxonomy	UCS.0002.UA_S1_L001	UCS.0002.UA_S1_L002	UCS.0007.UA_S2_L001	UCS.0007.UA_S2_L002	UCS.0010.UA_S3_L001	UCS.0010.UA_S3_L002	UCS.0016.UA_S4_L001	UCS.0016.UA_S4_L002	UCS.0018.UA_S5_L001	UCS.0018.UA_S5_L002	UCS.0020.BAL_S12_L001	UCS.0020.BAL_S12_L002	UCS.0025.BAL_S8_L001	UCS.0025.BAL_S8_L002	UCS.0040.BKG_S16_L001	UCS.0040.BKG_S16_L002	UCS.0047.BAL_S7_L001	UCS.0047.BAL_S7_L002	UCS.0064.BAL_S6_L001	UCS.0064.BAL_S6_L002	UCS.0069.BKG_S17_L001	UCS.0069.BKG_S17_L002	UCS.0070.BKG_S18_L001	UCS.0070.BKG_S18_L002	UCS.0081.BAL_S9_L001	UCS.0081.BAL_S9_L002	UCS.0085.BKG_S20_L001	UCS.0085.BKG_S20_L002	UCS.0136.BKG_S19_L001	UCS.0136.BKG_S19_L002	UCS.0147.BAL_S11_L001	UCS.0147.BAL_S11_L002	UCS.0163.BAL_S10_L001	UCS.0163.BAL_S10_L002	UCS.0191.BAL_S13_L001	UCS.0191.BAL_S13_L002	UCS.0192.BAL_S14_L001	UCS.0192.BAL_S14_L002	UCS.0194.BAL_S15_L001	UCS.0194.BAL_S15_L002
Staphylococcus epidermidis	0.468128083	0.478569351	0.498715318	0.505787796	0.000943604	0.000972134	0.077236419	0.079124094	0.274155337	0.279545404	7.55E-05	0.000122159	0.224427444	0.230076236	0.000361748	0.000382075	5.58E-05	7.16E-05	5.40E-05	7.16E-05	0.000401248	0.000396328	0.000185077	0.000173591	0.000706562	0.000663444	0.000324257	0.000286373	0.000416392	0.000450406	4.45E-05	4.77E-05	7.38E-05	9.95E-05	0.000377222	0.000384635	0.005204551	0.005832745	0.000672184	0.000735538
Staphylococcus aureus	0.137348231	0.133851805	0.246977219	0.237691735	0.088216535	0.086402973	0.034005054	0.03284208	0.084161279	0.082579173	0.137409152	0.141231125	0.372770041	0.365770179	0.213496457	0.211215724	0.599729197	0.597871615	0.682832212	0.679154157	0.432144109	0.429093682	0.623853018	0.620437428	0.73711309	0.734673773	0.583733962	0.580095596	0.57122866	0.570192313	0.812819469	0.808672027	0.681165799	0.676061903	0.444251521	0.44221843	0.723881022	0.718740413	0.87907162	0.875952549
Staphylococcus capitis	0.002569347	0.002522128	0.005489113	0.005643175	5.40E-06	6.16E-06	3.91E-05	3.52E-05	3.90E-05	3.81E-05	5.47E-06	7.12E-06	0.000191308	0.000195804	9.52E-05	8.19E-05	7.96E-06	1.26E-05	1.03E-05	1.93E-05	0.000246261	0.000231473	0.000103976	0.000133196	1.25E-05	8.94E-06	8.69E-05	9.76E-05	3.61E-05	4.20E-05	4.05E-06	1.08E-05	2.11E-05	2.84E-05	1.20E-05	1.07E-05	1.34E-05	1.07E-05	2.94E-06	5.41E-06
Staphylococcus hominis	0.001164986	0.001187872	0.003154877	0.003174695	0.001214292	0.001278908	0.000229706	0.000231883	0.000507056	0.000483436	6.57E-06	2.02E-05	0.000196962	0.000196783	0.000168172	0.00017561	3.19E-05	4.21E-05	1.29E-05	3.03E-05	0.000102012	0.000124958	5.30E-05	5.70E-05	1.05E-05	3.57E-05	5.44E-05	4.51E-05	0.000122636	0.000102092	2.02E-05	1.52E-05	2.11E-05	2.27E-05	9.84E-06	1.07E-05	2.68E-05	1.78E-05	2.94E-06	1.08E-05
Staphylococcus haemolyticus	0.001043451	0.00111492	0.001107885	0.001094327	1.69E-05	1.77E-05	0.000315413	0.000310238	0.010233457	0.010794161	2.30E-05	1.07E-05	0.00031005	0.000339719	0.000124161	0.000127993	7.96E-06	2.53E-05	5.14E-06	1.65E-05	0.000314985	0.000326697	1.72E-05	1.66E-05	6.69E-05	7.82E-05	9.32E-05	9.92E-05	7.32E-05	7.71E-05	1.01E-05	1.30E-05	2.37E-05	2.84E-05	1.42E-05	1.07E-05	2.68E-05	1.43E-05	3.93E-06	8.65E-06
Staphylococcus equorum	0.00088356	0.000909982	0.000229515	0.00022558	1.96E-06	7.69E-07	9.08E-06	1.01E-05	0.000165677	0.000191717	1.09E-06	2.37E-06	3.39E-05	2.45E-05	7.87E-06	3.43E-06	7.96E-06	2.10E-05	1.03E-05	8.26E-06	4.65E-06	3.76E-06	5.20E-07	1.09E-06	6.27E-06	1.12E-05	5.82E-06	7.42E-06	1.33E-05	1.40E-05	4.05E-06	4.33E-06	2.64E-06	8.53E-06	6.56E-06	7.10E-06	6.69E-06	1.43E-05	0	3.25E-06
Staphylococcus pasteuri	0.000709805	0.000714643	0.000519766	0.000510932	1.96E-06	5.13E-07	3.60E-05	4.01E-05	0.000163566	0.000157462	7.66E-06	3.56E-06	7.44E-05	7.15E-05	6.98E-05	6.59E-05	1.59E-05	2.53E-05	1.29E-05	1.10E-05	6.44E-05	5.83E-05	4.55E-05	4.86E-05	2.09E-05	2.01E-05	2.48E-05	4.24E-05	4.85E-05	7.91E-05	6.07E-06	1.08E-05	4.48E-05	6.54E-05	7.65E-06	5.92E-06	1.00E-05	7.13E-06	6.87E-06	2.16E-06
Staphylococcus lugdunensis	0.000538823	0.000531783	0.00019183	0.000204291	3.44E-06	4.87E-06	0.000931656	0.000964183	0.000145627	0.00014586	4.38E-06	3.56E-06	0.000108376	0.000107692	8.59E-06	8.38E-06	1.59E-05	8.42E-06	7.72E-06	8.26E-06	6.80E-06	5.65E-06	2.08E-06	1.64E-06	6.27E-06	4.47E-06	4.85E-07	5.83E-06	0	6.01E-06	8.10E-06	1.08E-05	5.27E-06	8.53E-06	6.56E-06	8.28E-06	6.69E-06	3.92E-05	1.96E-06	5.41E-06
Staphylococcus warneri	0.000530043	0.000594176	9.62E-06	9.83E-06	9.82E-07	2.56E-07	1.74E-05	1.77E-05	0.000159345	0.000185087	2.19E-06	0	9.42E-06	1.17E-05	1.43E-05	1.45E-05	1.19E-05	8.42E-06	1.03E-05	2.75E-06	3.62E-05	3.20E-05	5.20E-06	4.91E-06	4.18E-06	2.23E-06	1.21E-05	1.06E-05	1.81E-05	2.30E-05	2.02E-06	0	2.64E-06	2.84E-06	1.09E-06	2.37E-06	2.68E-05	3.21E-05	3.93E-06	3.25E-06
Staphylococcus caprae	0.000456105	0.000435793	0.000106639	0.000108696	1.96E-06	5.13E-07	1.59E-05	1.56E-05	5.86E-05	5.91E-05	4.38E-06	4.74E-06	0.000114031	0.00010965	1.47E-05	1.03E-05	0	4.21E-06	7.72E-06	5.50E-06	1.54E-05	8.28E-06	3.12E-06	5.46E-06	8.36E-06	1.12E-05	5.34E-06	5.30E-06	2.85E-06	7.01E-06	0	4.33E-06	1.32E-05	5.69E-06	2.19E-06	4.73E-06	0	1.07E-05	1.96E-06	3.25E-06
