taxonomy	UCS_0001_BAL	UCS_0002_BAL	UCS_0002_UA	UCS_0004_BAL	UCS_0005_BAL	UCS_0006_BAL	UCS_0007_BAL	UCS_0007_UA	UCS_0009_BAL	UCS_0009_UA	UCS_0010_BAL	UCS_0010_UA	UCS_0013_BAL	UCS_0013_UA	UCS_0014_BAL	UCS_0014_UA	UCS_0015_BAL	UCS_0015_UA	UCS_0016_BAL	UCS_0016_UA	UCS_0017_BAL	UCS_0018_BAL	UCS_0018_UA	UCS_0019_BAL	UCS_0020_BAL	UCS_0021_BAL	UCS_0021_UA	UCS_0022_BAL	UCS_0022_UA	UCS_0023_BAL	UCS_0023_UA	UCS_0025_BAL	UCS_0025_UA	UCS_0028_BAL	UCS_0028_UA	UCS_0029_BAL	UCS_0030_BAL	UCS_0030_UA	UCS_0031_BAL	UCS_0032_BAL	UCS_0032_UA	UCS_0033_BAL	UCS_0034_BAL	UCS_0035_BAL	UCS_0036_BAL	UCS_0037_BAL	UCS_0038_BAL	UCS_0038_UA	UCS_0039_BAL	UCS_0039_UA	UCS_0040_BAL	UCS_0040_BKG	UCS_0041_BAL	UCS_0041_UA	UCS_0042_BAL	UCS_0042_UA	UCS_0043_BAL	UCS_0043_UA	UCS_0044_BAL	UCS_0045_BAL	UCS_0046_BAL	UCS_0046_UA	UCS_0047_BAL	UCS_0048_BAL	UCS_0048_UA	UCS_0049_BAL	UCS_0050_BAL	UCS_0050_UA	UCS_0051_BAL	UCS_0051_UA	UCS_0052_BAL	UCS_0053_BAL	UCS_0053_UA	UCS_0054_BAL	UCS_0054_UA	UCS_0055_BAL	UCS_0055_UA	UCS_0056_BAL	UCS_0057_BAL	UCS_0057_UA	UCS_0058_BAL	UCS_0058_UA	UCS_0059_BAL	UCS_0060_BAL	UCS_0060_UA	UCS_0061_BAL	UCS_0061_UA	UCS_0062_BAL	UCS_0063_BAL	UCS_0063_UA	UCS_0064_BAL	UCS_0065_BAL	UCS_0066_BAL	UCS_0069_BAL	UCS_0069_BKG	UCS_0070_BAL	UCS_0070_BKG	UCS_0071_BAL	UCS_0072_BAL	UCS_0073_BAL	UCS_0073_UA	UCS_0074_BAL	UCS_0074_UA	UCS_0075_BAL	UCS_0076_BAL	UCS_0077_BAL	UCS_0077_UA	UCS_0079_BAL	UCS_0080_BAL	UCS_0081_BAL	UCS_0082_BAL	UCS_0083_BAL	UCS_0083_UA	UCS_0085_BAL	UCS_0085_BKG	UCS_0087_BAL	UCS_0088_BAL	UCS_0088_UA	UCS_0090_BAL	UCS_0093_BAL	UCS_0093_UA	UCS_0094_BAL	UCS_0094_UA	UCS_0095_BAL	UCS_0096_BAL	UCS_0096_UA	UCS_0097_BAL	UCS_0097_UA	UCS_0098_BAL	UCS_0099_BAL	UCS_0099_UA	UCS_0100_BAL	UCS_0101_BAL	UCS_0101_UA	UCS_0103_BAL	UCS_0106_BAL	UCS_0106_UA	UCS_0109_BAL	UCS_0114_BAL	UCS_0115_BAL	UCS_0116_BAL	UCS_0118_BAL	UCS_0123_BAL	UCS_0128_BAL	UCS_0130_BAL	UCS_0130_UA	UCS_0134_UA	UCS_0138_BAL	UCS_0144_BAL	UCS_0147_BAL	UCS_0148_BAL	UCS_0148_UA	UCS_0151_BAL	UCS_0153_BAL	UCS_0153_UA	UCS_0154_BAL	UCS_0154_UA	UCS_0156_BAL	UCS_0158_BAL	UCS_0158_UA	UCS_0159_BAL	UCS_0159_UA	UCS_0160_BAL	UCS_0163_BAL	UCS_0164_BAL	UCS_0164_UA	UCS_0167_UA	UCS_0168_BAL	UCS_0170_BAL	UCS_0170_UA	UCS_0171_BAL	UCS_0172_UA	UCS_0174_BAL	UCS_0174_UA	UCS_0175_BAL	UCS_0175_UA	UCS_0176_BAL	UCS_0177_BAL	UCS_0177_UA	UCS_0180_BAL	UCS_0182_UA	UCS_0185_BAL	UCS_0185_UA	UCS_0190_BAL	UCS_0191_BAL	UCS_0191_UA	UCS_0192_BAL	UCS_0192_UA	UCS_0194_BAL
Human gammaherpesvirus 4	37	5161	34103	3	0	0	0	2	71	0	2	0	0	2	1	1	9	960	0	0	0	0	852	0	0	0	0	0	0	25	226	2	0	1	0	2	0	4	0	6	503	5	0	10	6	2	1	0	2	446	0	0	0	53	6	2	0	0	428	1	207	12503	0	8	4	23	0	0	4	1999	0	0	2	0	6058	8	0	186	39	13416	2081	64439	0	9	401	116	139164	27	227	854	0	2	1	26	0	1	0	1	0	20	2096	0	2	23	0	664	26667	12	0	2	2	0	106	22	0	12	0	0	0	8	4	1	0	0	0	0	66	1248	2256	0	0	147	0	0	7	20	191	1	0	8	0	0	0	0	0	4	0	0	0	0	1256	70970	0	0	0	0	0	12	0	0	0	9446	3	0	0	0	0	0	0	0	0	325	0	0	4	10	0	0	0	12	0	0	0	376	0	0	0	0	0
Human gammaherpesvirus 8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human betaherpesvirus 5	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	2	2	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	8	11	0	0	0	0	3	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	33	1	0	0	0	0	1	0	0	0	0	1	81	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	50	0	0	1	1	7	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	177	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	12	0	0	1	0	0	0	0	0	0	0	1	0	0	14	0	0	1	0	0	1	0	0	1	0
Human betaherpesvirus 7	1	0	0	4	0	0	0	26	0	2	3	0	0	0	0	0	0	266	1	33	1	3	3	210	3	4	89	0	19	0	0	1	1	0	94	1	4	4	1	1	0	0	0	0	2	0	0	0	1	15	3	0	0	0	1	44	1	0	2	4	2	20	3	0	0	0	0	0	0	16	2	1	4	1	0	3	12	8	0	0	5	31	1	1	0	1	0	0	2	6	0	0	0	11	0	0	0	1	0	0	80	0	0	0	4	2	63	8	6	0	0	0	0	2	0	0	1	10	0	10	61	22	902	0	2	6	0	8	0	1	0	2	0	6	0	2	15	0	4	1	2	0	1	0	3	2	220	0	0	1	0	16	1	0	0	0	0	0	1	26	0	0	3	3	0	42	4	0	2	0	0	16	8	0	1	2	0	0	5	0	2	1	5	1	0	0	2	73	9
Human betaherpesvirus 6A	1	0	0	0	0	0	1	0	0	0	0	0	2	10	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
Human polyomavirus 6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gammapapillomavirus 1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Human betaherpesvirus 6B	0	1	0	1	0	0	0	12	0	0	0	0	0	1	0	0	0	14	0	0	1	0	0	2	2	0	4	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	22	0	0	0	0	4	0	0	0	0	8	3	1	2	0	0	0	0	0	0	7	0	0	0	0	0	0	2	0	0	0	5	25	0	0	4	0	0	2	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	1	0	1	19	0	0	12	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	18	13	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	10	0	0	0	5	0	1	0	0	2	0	1	2	0	0	14	0	2	0	0	0	0	4	0
Human alphaherpesvirus 1	0	1	0	1364409	0	0	2	2	0	1	8	4081	16	160	0	2	4	2570	0	0	335710	5	3462	0	1	2	4	30	811	13	341	2	1	0	0	3380	0	0	2	0	0	0	0	342494	3	6	8	18	0	0	815951	0	1036	40730	3	2	41141	578205	910217	6	0	3	0	2261965	1789205	5982	4	0	0	62	0	0	2	1467	2742710	0	2	8	2	0	0	0	12114	15587	503451	0	0	0	0	1	0	1	2	76	0	0	0	2	229431	6	12	62031	408433	572541	101246	123493	8678	181297	2763	0	3578	1	53	4	0	626	2	2	16	3953	1113	1	0	0	0	0	49068	72518	2	3	0	214096	1	0	1	0	1	0	2	2	5	2	1	8	18	100	0	1	1	0	0	2	191	2	106	1	0	28966	23	387	4	0	4171	1	3	0	1	6	4903	30	0	0	1	2	2	1	0	0	2	13147	991	0	0	260307	308601	1724144	0	2	1
Human polyomavirus 5	0	29	493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
