taxonomy	UCS.0002.UA_S1_L001	UCS.0002.UA_S1_L002	UCS.0007.UA_S2_L001	UCS.0007.UA_S2_L002	UCS.0010.UA_S3_L001	UCS.0010.UA_S3_L002	UCS.0016.UA_S4_L001	UCS.0016.UA_S4_L002	UCS.0018.UA_S5_L001	UCS.0018.UA_S5_L002	UCS.0020.BAL_S12_L001	UCS.0020.BAL_S12_L002	UCS.0025.BAL_S8_L001	UCS.0025.BAL_S8_L002	UCS.0040.BKG_S16_L001	UCS.0040.BKG_S16_L002	UCS.0047.BAL_S7_L001	UCS.0047.BAL_S7_L002	UCS.0064.BAL_S6_L001	UCS.0064.BAL_S6_L002	UCS.0069.BKG_S17_L001	UCS.0069.BKG_S17_L002	UCS.0070.BKG_S18_L001	UCS.0070.BKG_S18_L002	UCS.0081.BAL_S9_L001	UCS.0081.BAL_S9_L002	UCS.0085.BKG_S20_L001	UCS.0085.BKG_S20_L002	UCS.0136.BKG_S19_L001	UCS.0136.BKG_S19_L002	UCS.0147.BAL_S11_L001	UCS.0147.BAL_S11_L002	UCS.0163.BAL_S10_L001	UCS.0163.BAL_S10_L002	UCS.0191.BAL_S13_L001	UCS.0191.BAL_S13_L002	UCS.0192.BAL_S14_L001	UCS.0192.BAL_S14_L002	UCS.0194.BAL_S15_L001	UCS.0194.BAL_S15_L002
[Candida] glabrata	46919	45801	493	444	268	280	2582	2331	299	309	224	250	271	232	78	53	188	173	301	259	89	68	48	70	172	190	316	369	8	23	195	206	248	187	412	353	170	162	1646	1456
Naumovozyma castellii	2185	1957	2689	2631	1506	1507	1919	1809	1670	1522	2195	2029	2291	2146	9	9	1869	1772	2063	1883	151	185	18	23	1820	1536	30	23	3	8	2177	2021	2160	2070	3402	3185	1664	1642	2252	1952
Naumovozyma dairenensis	943	903	1035	1057	701	645	1385	1312	609	661	819	772	854	709	90	66	667	622	888	819	204	180	113	110	747	695	51	69	39	22	827	723	792	758	1222	1115	522	533	781	744
Tetrapisispora phaffii	891	858	1100	1190	623	585	824	752	721	576	973	808	898	749	110	90	687	670	803	702	182	219	131	123	726	680	106	89	31	29	708	694	768	742	1344	1332	554	506	806	708
Tetrapisispora blattae	773	839	930	971	449	529	1387	1240	481	561	721	765	703	693	28	42	553	547	722	669	152	98	75	42	585	560	41	18	9	9	639	653	683	600	999	955	430	465	661	626
Kluyveromyces marxianus	1235	1295	1482	1486	1295	1124	1284	1123	1050	999	1570	1457	1489	1387	43	43	1351	1248	1491	1468	138	125	34	31	1324	1182	34	29	5	9	1597	1403	1612	1526	2490	2178	1203	1144	1456	1325
Kluyveromyces lactis	347	338	354	326	251	183	264	273	203	212	270	251	244	273	58	29	205	200	249	243	65	64	37	44	273	194	33	29	14	15	230	238	197	206	384	381	177	188	238	269
Saccharomyces cerevisiae	366	384	497	583	267	250	349	280	316	331	400	383	293	358	34	35	285	283	347	352	70	51	37	14	274	282	27	24	14	13	330	304	333	307	560	497	281	258	356	294
Saccharomyces eubayanus	333	273	324	294	255	199	552	582	211	245	258	236	303	272	15	10	179	212	275	289	49	50	5	6	228	213	7	18	1	5	203	215	233	241	441	422	239	196	286	303
Saccharomyces paradoxus	321	272	460	434	188	233	872	814	257	265	294	245	249	251	13	27	224	213	264	288	32	49	33	20	246	205	16	15	6	3	224	244	241	256	414	456	213	246	271	293
