taxonomy	UCS_0001_BAL	UCS_0002_BAL	UCS_0002_UA	UCS_0004_BAL	UCS_0005_BAL	UCS_0006_BAL	UCS_0007_BAL	UCS_0007_UA	UCS_0009_BAL	UCS_0009_UA	UCS_0010_BAL	UCS_0010_UA	UCS_0013_BAL	UCS_0013_UA	UCS_0014_BAL	UCS_0014_UA	UCS_0015_BAL	UCS_0015_UA	UCS_0016_BAL	UCS_0016_UA	UCS_0017_BAL	UCS_0018_BAL	UCS_0018_UA	UCS_0019_BAL	UCS_0020_BAL	UCS_0021_BAL	UCS_0021_UA	UCS_0022_BAL	UCS_0022_UA	UCS_0023_BAL	UCS_0023_UA	UCS_0025_BAL	UCS_0025_UA	UCS_0028_BAL	UCS_0028_UA	UCS_0029_BAL	UCS_0030_BAL	UCS_0030_UA	UCS_0031_BAL	UCS_0032_BAL	UCS_0032_UA	UCS_0033_BAL	UCS_0034_BAL	UCS_0035_BAL	UCS_0036_BAL	UCS_0037_BAL	UCS_0038_BAL	UCS_0038_UA	UCS_0039_BAL	UCS_0039_UA	UCS_0040_BAL	UCS_0040_BKG	UCS_0041_BAL	UCS_0041_UA	UCS_0042_BAL	UCS_0042_UA	UCS_0043_BAL	UCS_0043_UA	UCS_0044_BAL	UCS_0045_BAL	UCS_0046_BAL	UCS_0046_UA	UCS_0047_BAL	UCS_0048_BAL	UCS_0048_UA	UCS_0049_BAL	UCS_0050_BAL	UCS_0050_UA	UCS_0051_BAL	UCS_0051_UA	UCS_0052_BAL	UCS_0053_BAL	UCS_0053_UA	UCS_0054_BAL	UCS_0054_UA	UCS_0055_BAL	UCS_0055_UA	UCS_0056_BAL	UCS_0057_BAL	UCS_0057_UA	UCS_0058_BAL	UCS_0058_UA	UCS_0059_BAL	UCS_0060_BAL	UCS_0060_UA	UCS_0061_BAL	UCS_0061_UA	UCS_0062_BAL	UCS_0063_BAL	UCS_0063_UA	UCS_0064_BAL	UCS_0065_BAL	UCS_0066_BAL	UCS_0069_BAL	UCS_0069_BKG	UCS_0070_BAL	UCS_0070_BKG	UCS_0071_BAL	UCS_0072_BAL	UCS_0073_BAL	UCS_0073_UA	UCS_0074_BAL	UCS_0074_UA	UCS_0075_BAL	UCS_0076_BAL	UCS_0077_BAL	UCS_0077_UA	UCS_0079_BAL	UCS_0080_BAL	UCS_0081_BAL	UCS_0082_BAL	UCS_0083_BAL	UCS_0083_UA	UCS_0085_BAL	UCS_0085_BKG	UCS_0087_BAL	UCS_0088_BAL	UCS_0088_UA	UCS_0090_BAL	UCS_0093_BAL	UCS_0093_UA	UCS_0094_BAL	UCS_0094_UA	UCS_0095_BAL	UCS_0096_BAL	UCS_0096_UA	UCS_0097_BAL	UCS_0097_UA	UCS_0098_BAL	UCS_0099_BAL	UCS_0099_UA	UCS_0100_BAL	UCS_0101_BAL	UCS_0101_UA	UCS_0103_BAL	UCS_0106_BAL	UCS_0106_UA	UCS_0109_BAL	UCS_0114_BAL	UCS_0115_BAL	UCS_0116_BAL	UCS_0118_BAL	UCS_0123_BAL	UCS_0128_BAL	UCS_0130_BAL	UCS_0130_UA	UCS_0134_UA	UCS_0138_BAL	UCS_0144_BAL	UCS_0147_BAL	UCS_0148_BAL	UCS_0148_UA	UCS_0151_BAL	UCS_0153_BAL	UCS_0153_UA	UCS_0154_BAL	UCS_0154_UA	UCS_0156_BAL	UCS_0158_BAL	UCS_0158_UA	UCS_0159_BAL	UCS_0159_UA	UCS_0160_BAL	UCS_0163_BAL	UCS_0164_BAL	UCS_0164_UA	UCS_0167_UA	UCS_0168_BAL	UCS_0170_BAL	UCS_0170_UA	UCS_0171_BAL	UCS_0172_UA	UCS_0174_BAL	UCS_0174_UA	UCS_0175_BAL	UCS_0175_UA	UCS_0176_BAL	UCS_0177_BAL	UCS_0177_UA	UCS_0180_BAL	UCS_0182_UA	UCS_0185_BAL	UCS_0185_UA	UCS_0190_BAL	UCS_0191_BAL	UCS_0191_UA	UCS_0192_BAL	UCS_0192_UA	UCS_0194_BAL
Fusarium fujikuroi	0.026822703	0.032068418	0.007100988	0.015858861	0.0308719	0.010328753	0.030709058	0.004147717	0.03450229	0.003650176	0.032581323	0.003239395	0.025572971	0.00476966	0.052092371	0.002646108	0.026972984	0.000800116	0.017325149	0.000223809	0.032318029	0.024869424	0.008662202	0.055442005	0.022347114	0.041197397	0.014933378	0.020726317	0.0263913	0.038940103	0.004527741	0.018486297	0.013865182	0.019783939	0.000637539	0.04073606	0.020719344	0.002785683	0.054682416	0.040705053	0.004217595	0.110810206	0.056836903	0.013821867	0.056859986	0.05557752	0.020453534	0.000738323	0.026984847	0.000550602	0.015520277	0	0.052490505	0.00528962	0.056696766	0.01023242	0.021716443	0.003349384	0.041035145	0.005923796	0.043727879	0.00809937	0.075418326	0.004127672	0.010925045	0.050784232	0.037201025	0.000632732	0.04333505	0.012188546	0.052672418	0.006642357	0.000600013	0.038795067	0.008196841	0.038200237	0.001140219	0.039064843	0.053697344	0.022068496	0.043384108	0.017272132	0.076567737	0.046224428	0.000728397	0.024249651	0.000783934	0.033473357	0.018325185	0.006201021	0.047607814	0.04843639	0.029499796	0.021256956	0	0.04293415	0	0.059945341	0.047709491	0.077260081	0.00322786	0.045040106	0.029953385	0.019778902	0.040369315	0.024666791	0.001184884	0.040789282	0.045250759	0.052175449	0.056725213	0.050738886	0.001251221	0.011610367	0	0.01227389	0.010557034	0.001312289	0.017373554	0.058639668	0.023312943	0.048796484	0.003919526	0.032002203	0.015110063	0.006447142	0.041124353	0.020717134	0.039840897	0.028725172	0.012507513	0.063088736	0.06919707	0.003600108	0.051488479	0.012515614	0.002076688	0.017829526	0.039159754	0.06165296	0.026148694	0.020335082	0.029635731	0.034951732	0.003441816	0.00085513	0.001103035	0.028958945	0.059142978	0.07043727	0.00327044	0.007101994	0.039396717	0.060692426	0.000874598	0.028056532	0.001291462	0.054606055	0.023244628	0.00242195	0.013613763	0.006797482	0.076276011	0.065902058	0.054437689	0.073907657	0.00043154	0.033894464	0.058697867	0.001463196	0.029689117	0.00152532	0.003531561	0.001633262	0.021682711	0.002952743	0.016617794	0.043407578	0.000341784	0.080502939	0.022486178	0.023336035	0.000651192	0.033672002	0.032927916	0.005406879	0.07641342	0.025056229	0.02248566
Fusarium verticillioides	0.001581369	0.002485666	0.000486893	0.000962637	0.001731581	0.000757959	0.001688827	0.000191022	0.002337484	0.000197391	0.002363776	0.000143499	0.001929053	0.000284308	0.003007288	0.000118142	0.00152359	7.75E-05	0.001137647	3.22E-05	0.001888804	0.001272022	0.000382814	0.002074489	0.001524635	0.002719966	0.000809413	0.001033448	0.001323843	0.001861683	0.000166748	0.000882368	0.000934119	0.001248958	6.11E-05	0.002707324	0.001047532	0.000175048	0.002724337	0.002204794	0.000175063	0.004128854	0.002921678	0.000917063	0.002767397	0.002954956	0.001315945	6.29E-05	0.001801169	6.74E-05	0.000814697	0	0.002200026	0.000212501	0.003093452	0.000491095	0.001919911	0.000256114	0.001598849	0.000376605	0.003214663	0.000643988	0.00334037	0.000202632	0.00043325	0.001743431	0.002122854	3.57E-05	0.00310206	0.000772871	0.00302306	0.000485671	4.85E-05	0.002279343	0.000341845	0.00298624	0.000117591	0.002942701	0.002656341	0.000858992	0.002507375	0.000969501	0.003167648	0.001638257	8.48E-05	0.001365579	6.13E-05	0.001950576	0.000901385	0.000320843	0.002696381	0.002740438	0.002251086	0.001264021	0	0.002118375	0	0.002983602	0.002208773	0.003668392	0.000130828	0.002372816	0.001442399	0.001500616	0.002222982	0.001564327	6.33E-05	0.002134179	0.002831035	0.002681527	0.003709733	0.002311028	8.86E-05	0.000851733	0	0.000955247	0.000477676	6.03E-05	0.001259645	0.002711945	0.00091279	0.002771822	0.000236568	0.002071751	0.000970004	0.00030266	0.00248875	0.001235575	0.002157449	0.00153731	0.000646572	0.00223894	0.004048545	0.000178379	0.003204932	0.000683447	0.000138793	0.001090506	0.001598583	0.003047026	0.001323586	0.001295976	0.001390627	0.001724805	0.000247938	6.85E-05	7.52E-05	0.002032095	0.003051272	0.002851805	0.000246985	0.000374303	0.002988176	0.003402305	5.63E-05	0.001958616	0.00013267	0.004071625	0.00119869	0.000121248	0.001444148	0.00080534	0.004470934	0.002970345	0.002180843	0.00190843	4.57E-05	0.00238346	0.002950388	7.79E-05	0.001657292	0.000135463	0.000221095	0.000137505	0.001695851	0.000245933	0.000751298	0.002325804	3.56E-05	0.003399394	0.001732823	0.00136536	4.58E-05	0.00222493	0.001995593	0.000335774	0.003032898	0.001035706	0.001105581
Fusarium pseudograminearum	0.001022843	0.00351988	0.000347055	0.000651127	0.001125487	0.002025819	0.001053488	0.00017853	0.001457934	0.000136885	0.002277986	0.000345426	0.00246895	0.000156072	0.001833127	8.50E-05	0.001035404	8.79E-05	0.000869784	4.62E-05	0.008843035	0.000794748	0.000270437	0.001240018	0.000917052	0.001919976	0.000571429	0.001440026	0.000947573	0.001177651	0.473756222	0.000587623	0.000593768	0.00080033	5.69E-05	0.001932815	0.000753153	0.000213566	0.001943138	0.001455505	0.000137822	0.002683001	0.005005278	0.00063621	0.002389127	0.001944643	0.001254715	5.65E-05	0.001150162	6.00E-05	0.000520902	0	0.002328939	0.000147537	0.002256416	0.000289816	0.001251696	0.000345062	0.001002387	0.866366827	0.002455988	0.00041666	0.003001342	0.640915956	0.000268069	0.001064786	0.00141098	6.63E-05	0.002141765	0.000897998	0.003762316	0.000337949	4.01E-05	0.002255733	0.000262386	0.001778878	0.000161608	0.001791843	0.002120165	0.000596162	0.005664036	0.000860568	0.00615449	0.000980921	2.07E-05	0.000962246	4.60E-05	0.001608109	0.001989592	0.000213462	0.002246153	0.001821041	0.011229426	0.000868279	0	0.002223527	0	0.001921149	0.001838621	0.002677058	0.000213794	0.001754741	0.000873796	0.001063234	0.002808364	0.000932984	0.000102783	0.007275023	0.002407891	0.001792881	0.002457962	0.001483054	4.12E-05	0.000508062	0	0.0005782	0.000323886	9.40E-05	0.00074425	0.003849931	0.000623923	0.001778931	0.000184963	0.001460041	0.000639698	0.000229552	0.00211097	0.000822746	0.002955928	0.001009213	0.001294268	0.001328812	0.002921863	0.000133009	0.001891267	0.000459472	0.000166373	0.000842474	0.00109493	0.003239857	0.000894882	0.000798683	0.000863884	0.001120504	0.000160906	3.00E-05	6.99E-05	0.0012613	0.001831302	0.002554698	0.716633644	0.000369635	0.001804598	0.002135962	7.89E-05	0.001310227	0.000195058	0.002482511	0.00123019	0.00014027	0.001064211	0.000403027	0.003009118	0.002070241	0.001488378	0.001568502	3.70E-05	0.001516939	0.001756516	7.44E-05	0.001313446	0.00016937	0.000120403	0.000102614	0.00290105	0.000294188	0.00056863	0.001554906	6.08E-05	0.002028733	0.001522821	0.000836008	7.96E-05	0.00128278	0.001353377	0.000200286	0.001911172	0.00087027	0.000756948
Fusarium venenatum	0.000682099	0.001086369	0.000257216	0.000416244	0.000803804	0.000372089	0.000790116	0.000111074	0.001118087	0.000107288	0.000992189	7.37E-05	0.000798691	0.000122496	0.001255033	5.61E-05	0.000726189	7.09E-05	0.00053882	5.86E-05	0.000860476	0.000528411	0.000213182	0.000991834	0.000696307	0.001224332	0.000422274	0.000496928	0.000617303	0.000850433	8.33E-05	0.000413858	0.00044149	0.000572554	3.49E-05	0.001058035	0.00049127	0.000113959	0.001133118	0.001017752	0.000106082	0.001890925	0.001349316	0.000416989	0.001227299	0.001241481	0.000518418	6.25E-05	0.000797775	3.39E-05	0.000427634	0	0.001178455	0.000109772	0.001409744	0.000220706	0.000947084	0.000125619	0.000711257	0.000177621	0.00135738	0.000297475	0.001505871	9.36E-05	0.000222574	0.00083649	0.000912987	2.21E-05	0.001332654	0.000349249	0.001295073	0.000246612	9.04E-05	0.001041789	0.000168064	0.001330044	7.43E-05	0.001238265	0.001263756	0.000418055	0.001157155	0.000472997	0.001593573	0.000769151	2.46E-05	0.000607941	5.39E-05	0.000886387	0.000430761	0.000144043	0.001378925	0.001340418	0.000983327	0.000540626	0	0.000977037	0	0.001316343	0.00099152	0.001772523	7.82E-05	0.000965213	0.000585861	0.000648381	0.000980882	0.000690969	2.56E-05	0.001017116	0.001212646	0.001385802	0.001434083	0.000973014	3.26E-05	0.000365411	0	0.000474918	0.000205471	4.42E-05	0.000560788	0.001291514	0.000467355	0.001138905	0.000135259	0.000830831	0.000450024	0.000178603	0.001186942	0.000610218	0.001014965	0.000709059	0.000302483	0.000949492	0.001859026	8.37E-05	0.001453379	0.000369544	0.000104542	0.000587356	0.000746643	0.001391034	0.000692522	0.000599607	0.000620289	0.000741955	0.000164715	4.09E-05	3.53E-05	0.000879998	0.001353278	0.001470887	0.000107847	0.000147048	0.001095334	0.001528181	4.50E-05	0.000990355	5.89E-05	0.001841962	0.000578062	5.44E-05	0.000595105	0.000334786	0.001926861	0.001454569	0.000809635	0.000833428	3.11E-05	0.001098437	0.001284048	3.32E-05	0.000759162	9.74E-05	9.74E-05	5.95E-05	0.000811143	0.000119227	0.000352289	0.001046218	2.57E-05	0.001545887	0.000822815	0.000640956	5.09E-05	0.001036598	0.000870758	0.000160103	0.001309052	0.000457834	0.00045086
Fusarium graminearum	0.000575043	0.000872202	0.000186629	0.000321521	0.000649039	0.000272933	0.000617863	7.19E-05	0.0008335	8.35E-05	0.000792366	7.09E-05	0.000704989	0.000105275	0.000983459	3.84E-05	0.000559399	4.35E-05	0.000405817	1.58E-05	0.000719636	0.000428979	0.000154709	0.000735558	0.000588418	0.000975292	0.000294995	0.00039338	0.000504146	0.000697433	6.63E-05	0.000356404	0.000284099	0.000513014	2.79E-05	0.001203255	0.000370204	5.95E-05	0.001039071	0.000820412	8.79E-05	0.001626899	0.001095353	0.000358868	0.000945675	0.00107213	0.000465352	5.76E-05	0.000718579	2.82E-05	0.000332034	0	0.000892658	9.41E-05	0.001029774	0.000162106	0.000672505	9.01E-05	0.000560958	0.000126979	0.00116683	0.000236421	0.001339476	8.11E-05	0.000160632	0.000556471	0.000760556	2.58E-05	0.001072282	0.00030553	0.001007075	0.000190404	1.80E-05	0.00080864	0.000134051	0.000957512	5.92E-05	0.000948123	0.001026955	0.000330857	0.000878012	0.000356038	0.001171693	0.00064463	2.05E-05	0.000553684	3.08E-05	0.000700701	0.000386733	0.000133197	0.001068252	0.001105813	0.000830545	0.000469976	0	0.000725111	0	0.001114202	0.000855596	0.001338529	4.89E-05	0.000819161	0.000493213	0.000540134	0.000763724	0.000565286	5.67E-05	0.000717272	0.001055112	0.001051477	0.001277815	0.000826053	2.27E-05	0.000307339	0	0.000359007	0.000223283	3.45E-05	0.000477568	0.000995005	0.000310004	0.001034262	9.40E-05	0.000673338	0.000313358	0.000108526	0.001055485	0.000501916	0.000773271	0.000519397	0.000227144	0.000726433	0.001325729	8.62E-05	0.001116018	0.00030772	5.71E-05	0.000393933	0.000564032	0.001074555	0.000518642	0.000504035	0.000483423	0.00058503	9.44E-05	3.34E-05	4.94E-05	0.000696172	0.001030107	0.000989658	8.26E-05	0.000136226	0.000869207	0.001317124	4.71E-05	0.000745408	4.63E-05	0.001461923	0.000478029	7.81E-05	0.000544706	0.000255607	0.001655015	0.001269147	0.000684021	0.000773035	2.74E-05	0.000884442	0.001078295	4.23E-05	0.000613841	5.85E-05	7.78E-05	4.02E-05	0.000630107	0.000130374	0.000305991	0.000810229	1.82E-05	0.001431016	0.000664392	0.000456144	2.61E-05	0.000802028	0.000663921	0.000122864	0.001150717	0.000373193	0.000386451
Fusarium oxysporum	0.001425373	0.002359163	0.000557748	0.000874844	0.002377379	0.000854763	0.001650132	0.000211217	0.002533655	0.000276514	0.00201262	0.000219341	0.00182271	0.000300771	0.003118114	0.000163844	0.001502039	7.67E-05	0.001304675	3.75E-05	0.002137686	0.001767053	0.000552446	0.002966511	0.001871723	0.003410044	0.00115943	0.001287749	0.001634794	0.002077781	0.000228463	0.00113087	0.000976165	0.001307114	8.73E-05	0.002942443	0.001418374	0.000268399	0.002278371	0.002000443	0.000200878	0.007498322	0.004439934	0.000711884	0.00359876	0.003311689	0.001513924	0.000109046	0.002193518	6.43E-05	0.00084874	0	0.002752161	0.000320121	0.003951138	0.000656067	0.00204433	0.000304099	0.002682105	0.00044114	0.003439324	0.000652106	0.004147384	0.000251009	0.000590032	0.002395323	0.002277679	9.41E-05	0.002953676	0.000793474	0.002971697	0.000485846	5.43E-05	0.002639395	0.000495903	0.003158293	9.52E-05	0.002926919	0.004280819	0.001627695	0.003355874	0.001273939	0.005321365	0.002446373	5.30E-05	0.001870235	8.95E-05	0.002121372	0.001383313	0.000456643	0.003424054	0.002503297	0.001924394	0.001297298	0	0.002223527	0	0.002948025	0.002455136	0.003983609	0.000179248	0.002816263	0.001681284	0.001602269	0.002744371	0.001696441	7.09E-05	0.002498695	0.002756847	0.002981207	0.003625087	0.002812423	8.63E-05	0.000859178	0	0.001078374	0.000678882	0.000118421	0.001352795	0.003424505	0.001254108	0.002808326	0.000237518	0.001892194	0.001198622	0.000481073	0.003336201	0.001604734	0.00238135	0.001922726	0.000839981	0.003033365	0.003928366	0.000237801	0.002830086	0.000892808	0.000157912	0.001363133	0.002357744	0.003682927	0.001508708	0.001449447	0.001688215	0.001923715	0.000292378	9.19E-05	0.000113271	0.00220682	0.003837655	0.003316295	0.000217521	0.000396158	0.002438855	0.003905351	7.91E-05	0.001853914	0.000117201	0.004142116	0.001165913	0.000112763	0.001281318	0.000643892	0.004836815	0.004808359	0.002841641	0.003563208	5.91E-05	0.003128752	0.003591777	0.00011974	0.00162791	0.000128221	0.000227567	0.000130787	0.001537205	0.000252987	0.001004257	0.002118658	6.23E-05	0.003228061	0.00177335	0.001486179	8.53E-05	0.002524529	0.002060708	0.000368173	0.003501213	0.001086491	0.00149735
Pochonia chlamydosporia	0.00095188	0.001431477	0.000301868	0.000535996	0.001056613	0.000488388	0.001004184	0.000119297	0.001464381	0.00017209	0.00132363	0.000104865	0.001137799	0.000178491	0.001658401	8.15E-05	0.000900474	8.06E-05	0.000689764	7.15E-05	0.001142157	0.000704548	0.000246378	0.001173476	0.000877304	0.001613893	0.000522373	0.000615196	0.000884095	0.001005666	0.000105798	0.00052503	0.00053922	0.000676404	8.04E-05	0.001611255	0.000572192	0.000142418	0.001692851	0.001247146	0.000184514	0.002383772	0.001732469	0.000544153	0.001511001	0.001623326	0.000717927	9.32E-05	0.001039723	8.22E-05	0.000480797	0	0.001351149	0.0001221	0.001581832	0.000285676	0.001046834	0.000172629	0.00089627	0.000217508	0.001825524	0.000364699	0.001957216	0.000122435	0.000247072	0.001009496	0.001124474	5.95E-05	0.001724611	0.000475381	0.001746331	0.00031652	0.000143777	0.001180497	0.000200934	0.001591864	0.000127195	0.001558758	0.001522641	0.000500306	0.001533446	0.000576196	0.002042043	0.001021581	5.02E-05	0.000811895	0.000140838	0.001111487	0.000574149	0.000166821	0.001674647	0.001632089	0.001309206	0.000715204	0	0.001277889	0	0.001654323	0.001271865	0.002071751	9.35E-05	0.001391727	0.000739365	0.000793991	0.00123161	0.000917201	0.000109438	0.001251111	0.001615641	0.001610995	0.001896375	0.001271738	9.80E-05	0.000508062	0	0.000567375	0.000298046	7.08E-05	0.00069933	0.001508329	0.000525285	0.001748511	0.000160518	0.001170924	0.000571184	0.000181823	0.001467724	0.000715609	0.001301142	0.000883062	0.000372763	0.001267977	0.002422367	0.000131903	0.001700437	0.000438114	0.000107715	0.000680733	0.000851939	0.001915063	0.000834174	0.000816925	0.000832493	0.001052365	0.000160213	6.83E-05	9.16E-05	0.001174848	0.001850154	0.001763809	0.000133896	0.000190546	0.001563029	0.002120093	7.34E-05	0.00104895	8.55E-05	0.002553002	0.000786215	0.000133778	0.000932396	0.000682887	0.002588525	0.001920823	0.001118922	0.001049119	6.56E-05	0.001453689	0.001667611	6.32E-05	0.001000569	0.000108058	0.000133937	0.00010659	0.000932046	0.00012981	0.000510125	0.001490665	7.65E-05	0.001884658	0.000919833	0.000782253	8.71E-05	0.001183688	0.001105683	0.000187453	0.001701545	0.000562482	0.000619858
Colletotrichum higginsianum	0.003676606	0.005479562	0.001144639	0.00207737	0.003985797	0.00183759	0.003837618	0.000459076	0.005407158	0.000519374	0.005021693	0.000382538	0.004046996	0.000582479	0.006138381	0.000310005	0.003440728	0.000213015	0.002666883	0.000142474	0.004246432	0.002702426	0.000833847	0.004712786	0.003211102	0.006077141	0.001817037	0.002376524	0.003104913	0.003953982	0.000396105	0.001857692	0.001913693	0.002913312	0.000166484	0.006559123	0.002547466	0.000997296	0.006311785	0.005028654	0.000687133	0.008871254	0.006349073	0.002058418	0.006309001	0.006578303	0.002807928	0.000244379	0.003839928	0.000198448	0.001813132	0	0.005379058	0.00051912	0.006460868	0.001445577	0.004999276	0.000656574	0.00342926	0.000821629	0.006919817	0.001462368	0.007783105	0.000476335	0.000979887	0.003707132	0.004932045	0.000154895	0.006366502	0.001890971	0.00629743	0.001112036	0.000205786	0.004969892	0.000795446	0.006026341	0.00081759	0.006018941	0.006062346	0.00194742	0.005536147	0.002171773	0.007370498	0.004564079	0.000285365	0.003050164	0.000219648	0.004648274	0.002169869	0.000667502	0.006191873	0.006812418	0.005457869	0.002778901	0	0.004839183	0	0.006550988	0.00484595	0.007992343	0.000330468	0.005127695	0.003015594	0.003388612	0.005025052	0.003568255	0.000140544	0.005144372	0.006154821	0.005662734	0.007440626	0.004746925	0.000410065	0.00204118	0	0.002552287	0.001157059	0.000244364	0.002905128	0.005927839	0.002011896	0.006058342	0.000611246	0.00443338	0.002184852	0.00066479	0.005754755	0.003051672	0.005048876	0.003426976	0.0014129	0.004705711	0.015471225	0.000485119	0.006745521	0.001885941	0.000313708	0.002662069	0.00338714	0.007495389	0.003183802	0.003141195	0.002960811	0.003709776	0.000560747	0.000213103	0.000234088	0.004458232	0.00682564	0.006414991	0.000498575	0.000722931	0.006089967	0.008066193	0.000139129	0.004803845	0.000351219	0.009382973	0.002781336	0.000267669	0.003564817	0.000922801	0.010061738	0.007380858	0.0044303	0.004225809	0.000144162	0.006009776	0.006399917	0.000231011	0.003999895	0.000338576	0.000495	0.000300646	0.004145911	0.000535888	0.001720621	0.005511657	0.000130547	0.007162869	0.003667052	0.00312543	0.000187754	0.004929064	0.004117585	0.0006625	0.006931064	0.002139894	0.002402024
Thermothielavioides terrestris	0.001764893	0.002885148	0.000557748	0.001237951	0.001946307	0.000856108	0.001944085	0.000238595	0.002470107	0.000270547	0.002590243	0.000229808	0.002196771	0.000269686	0.003142076	0.000172643	0.001750349	0.000121735	0.001552125	0.000136595	0.002279491	0.001375716	0.000429105	0.002774079	0.001612649	0.003073353	0.000983759	0.001270491	0.001713912	0.002167682	0.000231147	0.001033245	0.000973892	0.001489888	0.000100763	0.003478375	0.001361664	0.000513246	0.003604134	0.002495294	0.000551992	0.004754972	0.003333539	0.001158128	0.003044864	0.003283356	0.001336355	0.000163743	0.001955203	0.000149082	0.000943407	0	0.002769187	0.000252222	0.003454148	0.000651927	0.00226528	0.000401435	0.001788991	0.000716012	0.003447558	0.00069335	0.004155704	0.000259489	0.00060753	0.001990454	0.002450859	0.000122513	0.003442223	0.000950762	0.003090932	0.000642701	0.000257549	0.002581353	0.00040101	0.003378222	0.001577666	0.003054388	0.002888234	0.001032151	0.002763154	0.001116273	0.003841238	0.00189577	0.000330818	0.001625098	0.000231574	0.002187938	0.001089992	0.000332992	0.003334341	0.00341889	0.002586718	0.001503617	0	0.002544094	0	0.003607814	0.0024163	0.004244005	0.000179248	0.002516751	0.001443307	0.001778651	0.002557636	0.001858953	0.000127529	0.002669194	0.00299498	0.003021049	0.004336432	0.00255116	0.000437599	0.001118569	0	0.001725128	0.00055871	0.000140837	0.001340028	0.003058849	0.001065444	0.003150241	0.000330135	0.002200332	0.001085755	0.000320084	0.003114128	0.001459749	0.002497748	0.001863565	0.00077926	0.002460807	0.004579963	0.000351999	0.003445174	0.000886907	0.000176298	0.001243494	0.001798866	0.003619631	0.001561172	0.001462137	0.001675658	0.001940922	0.000314886	0.000136693	0.000139479	0.002215921	0.003571039	0.003410449	0.000272636	0.000382154	0.003053257	0.003916459	6.38E-05	0.002384152	0.000135879	0.004522155	0.001440471	0.000176548	0.001661255	0.000533803	0.005076177	0.003901053	0.002272679	0.002236279	0.000154646	0.002882078	0.003198053	0.000213324	0.001880435	0.0002664	0.000262872	0.000229426	0.001841703	0.000263993	0.000879671	0.002667988	0.000135195	0.003699226	0.001945282	0.00153891	0.000154489	0.002495885	0.002405436	0.000375957	0.003519054	0.001139584	0.001252716
Thermothelomyces thermophilus	0.001424149	0.002318105	0.000456679	0.000844425	0.001618141	0.000743842	0.001594587	0.00020164	0.002169863	0.000237728	0.002045125	0.000158344	0.001813042	0.000248783	0.00270576	0.000136337	0.001438322	0.000114678	0.001182188	7.93E-05	0.001703589	0.001148442	0.000351446	0.002129341	0.00130105	0.002697705	0.000818694	0.001033448	0.001295324	0.001821478	0.000154226	0.000872559	0.000972756	0.001162417	7.38E-05	0.002754002	0.001187713	0.00055066	0.00274709	0.002217817	0.000413888	0.004008157	0.002655569	0.000947489	0.002414068	0.002757916	0.001172564	0.000134567	0.001608628	0.000114905	0.000752674	0	0.002350829	0.000242438	0.002769927	0.000471349	0.00176546	0.000292006	0.001469063	0.000339856	0.002860614	0.000536494	0.003375729	0.000188822	0.000456348	0.001550807	0.001880242	0.000104286	0.003062864	0.000850259	0.002687368	0.000483387	0.000110845	0.002086528	0.000377287	0.002679537	0.000740281	0.002559082	0.002396228	0.000827453	0.002298325	0.000958607	0.003204873	0.001686541	0.000269575	0.001261641	8.66E-05	0.001904155	0.000877586	0.000313034	0.00264654	0.002630111	0.002082864	0.001271189	0	0.001902959	0	0.002909214	0.002347124	0.003533625	0.000128965	0.002199247	0.001193521	0.001431932	0.001978549	0.001428705	5.64E-05	0.002257644	0.002567257	0.00238358	0.003284879	0.00209587	0.000403866	0.000939288	0	0.001461736	0.000455347	0.000103833	0.0011055	0.002544353	0.000857209	0.002583222	0.000248654	0.001717203	0.000914472	0.000277659	0.00245429	0.001110969	0.002063293	0.001549491	0.000581915	0.002093415	0.003695518	0.000276531	0.002980024	0.000790235	0.000163688	0.000977537	0.001435853	0.003214833	0.001257632	0.001206352	0.001255017	0.001604358	0.000252786	8.58E-05	0.000103323	0.002663655	0.00281428	0.002699067	0.00022578	0.000292185	0.002502832	0.003283288	5.48E-05	0.001917312	0.000114313	0.003973551	0.001144204	0.000115553	0.001393748	0.000412062	0.003947758	0.002871334	0.001915891	0.001951568	0.000144537	0.002309668	0.002676052	9.33E-05	0.001594558	0.000187476	0.000224037	0.000168693	0.001554477	0.000263005	0.000685218	0.002350714	6.74E-05	0.002973009	0.00165791	0.001242493	8.58E-05	0.002279895	0.001704489	0.000316208	0.002856722	0.000844108	0.001129808
