taxonomy	UCS_0001_BAL	UCS_0002_BAL	UCS_0002_UA	UCS_0004_BAL	UCS_0005_BAL	UCS_0006_BAL	UCS_0007_BAL	UCS_0007_UA	UCS_0009_BAL	UCS_0009_UA	UCS_0010_BAL	UCS_0010_UA	UCS_0013_BAL	UCS_0013_UA	UCS_0014_BAL	UCS_0014_UA	UCS_0015_BAL	UCS_0015_UA	UCS_0016_BAL	UCS_0016_UA	UCS_0017_BAL	UCS_0018_BAL	UCS_0018_UA	UCS_0019_BAL	UCS_0020_BAL	UCS_0021_BAL	UCS_0021_UA	UCS_0022_BAL	UCS_0022_UA	UCS_0023_BAL	UCS_0023_UA	UCS_0025_BAL	UCS_0025_UA	UCS_0028_BAL	UCS_0028_UA	UCS_0029_BAL	UCS_0030_BAL	UCS_0030_UA	UCS_0031_BAL	UCS_0032_BAL	UCS_0032_UA	UCS_0033_BAL	UCS_0034_BAL	UCS_0035_BAL	UCS_0036_BAL	UCS_0037_BAL	UCS_0038_BAL	UCS_0038_UA	UCS_0039_BAL	UCS_0039_UA	UCS_0040_BAL	UCS_0040_BKG	UCS_0041_BAL	UCS_0041_UA	UCS_0042_BAL	UCS_0042_UA	UCS_0043_BAL	UCS_0043_UA	UCS_0044_BAL	UCS_0045_BAL	UCS_0046_BAL	UCS_0046_UA	UCS_0047_BAL	UCS_0048_BAL	UCS_0048_UA	UCS_0049_BAL	UCS_0050_BAL	UCS_0050_UA	UCS_0051_BAL	UCS_0051_UA	UCS_0052_BAL	UCS_0053_BAL	UCS_0053_UA	UCS_0054_BAL	UCS_0054_UA	UCS_0055_BAL	UCS_0055_UA	UCS_0056_BAL	UCS_0057_BAL	UCS_0057_UA	UCS_0058_BAL	UCS_0058_UA	UCS_0059_BAL	UCS_0060_BAL	UCS_0060_UA	UCS_0061_BAL	UCS_0061_UA	UCS_0062_BAL	UCS_0063_BAL	UCS_0063_UA	UCS_0064_BAL	UCS_0065_BAL	UCS_0066_BAL	UCS_0069_BAL	UCS_0069_BKG	UCS_0070_BAL	UCS_0070_BKG	UCS_0071_BAL	UCS_0072_BAL	UCS_0073_BAL	UCS_0073_UA	UCS_0074_BAL	UCS_0074_UA	UCS_0075_BAL	UCS_0076_BAL	UCS_0077_BAL	UCS_0077_UA	UCS_0079_BAL	UCS_0080_BAL	UCS_0081_BAL	UCS_0082_BAL	UCS_0083_BAL	UCS_0083_UA	UCS_0085_BAL	UCS_0085_BKG	UCS_0087_BAL	UCS_0088_BAL	UCS_0088_UA	UCS_0090_BAL	UCS_0093_BAL	UCS_0093_UA	UCS_0094_BAL	UCS_0094_UA	UCS_0095_BAL	UCS_0096_BAL	UCS_0096_UA	UCS_0097_BAL	UCS_0097_UA	UCS_0098_BAL	UCS_0099_BAL	UCS_0099_UA	UCS_0100_BAL	UCS_0101_BAL	UCS_0101_UA	UCS_0103_BAL	UCS_0106_BAL	UCS_0106_UA	UCS_0109_BAL	UCS_0114_BAL	UCS_0115_BAL	UCS_0116_BAL	UCS_0118_BAL	UCS_0123_BAL	UCS_0128_BAL	UCS_0130_BAL	UCS_0130_UA	UCS_0134_UA	UCS_0138_BAL	UCS_0144_BAL	UCS_0147_BAL	UCS_0148_BAL	UCS_0148_UA	UCS_0151_BAL	UCS_0153_BAL	UCS_0153_UA	UCS_0154_BAL	UCS_0154_UA	UCS_0156_BAL	UCS_0158_BAL	UCS_0158_UA	UCS_0159_BAL	UCS_0159_UA	UCS_0160_BAL	UCS_0163_BAL	UCS_0164_BAL	UCS_0164_UA	UCS_0167_UA	UCS_0168_BAL	UCS_0170_BAL	UCS_0170_UA	UCS_0171_BAL	UCS_0172_UA	UCS_0174_BAL	UCS_0174_UA	UCS_0175_BAL	UCS_0175_UA	UCS_0176_BAL	UCS_0177_BAL	UCS_0177_UA	UCS_0180_BAL	UCS_0182_UA	UCS_0185_BAL	UCS_0185_UA	UCS_0190_BAL	UCS_0191_BAL	UCS_0191_UA	UCS_0192_BAL	UCS_0192_UA	UCS_0194_BAL
Proteus phage VB_PmiS-Isfahan	62	529	151	424	53	70	170	251	162	41	146	31	81	23	82	58	119	158	58	72	150	21	90	117	54	53	64	75	68	340	48	253	24	10	104	43	89	62	20	137	54	32	73	98	91	300	105	62	205	111	32	0	19	44	106	94	74	56	84	193	145	160	39	67	34	158	27	51	63	125	50	66	40	44	39	37	84	73	92	75	64	81	57	80	60	89	130	43	131	92	41	47	77	70	0	88	0	46	55	23	37	59	26	70	39	116	59	47	243	35	80	101	39	111	0	66	91	62	180	114	111	113	158	113	71	103	62	52	99	21	12	77	9	51	169	66	25	102	73	32	233	135	30	252	62	280	211	21	49	89	113	165	137	58	187	53	111	34	33	79	6	47	33	62	226	38	140	29	26	34	78	97	46	36	81	121	56	37	140	20	26	35	116	39	28	39	39	72	69
Streptococcus phage PH10	7	0	1	0	0	0	0	3	0	32	0	0	4	76	0	0	7	516	8	3278	0	0	190	0	0	0	0	0	0	242	400	0	0	0	211	0	0	0	0	1	0	0	0	4	0	0	15	911	0	892	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	84	624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1602	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	70	2400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	18	0	2	81	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	4966	0	12	0	0	0	0	0	0	0	0	0	27	0	0	45	0	270	37	67	0	0	5	2	89	2	0	0	1	0	0	0	0	0	0
Streptococcus phage phiARI0468-2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	3845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	2	0	0	0	0	0	0
Staphylococcus phage StB20	3	18	652	0	4	0	0	11	0	0	0	0	2	21	0	7	0	1	0	0	0	0	0	0	0	0	3	0	2	1	0	0	0	1	251	0	0	0	0	0	6	0	0	0	0	1	2	160	0	0	0	0	0	35	0	0	0	0	4	0	0	0	0	12	18	0	0	0	0	72	0	1	25	0	2	0	0	0	0	45	62	220	0	0	0	0	0	2	20	125	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	1	0	0	0	0	0	0	2	41	1	71	0	0	0	0	1	0	0	6	0	0	96	0	2	24	631	4	0	1	35	0	1	0	0	0	4	9	0	0	0	0	0	2960	2	186	0	0	38	0	261	1	0	0	7	60	0	0	3	0	22	0	0	0	1	0	0	0	3	0	0	5	0	0	0	0	0	0
Streptococcus phage PH15	2	0	0	0	0	0	0	1	0	14	0	0	0	9	0	18	3	619	0	52	0	0	1	0	0	0	0	0	0	11	17	1	0	0	73	0	0	0	0	3	92	0	1	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	108	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	6	84	0	0	0	0	0	0	34	0	0	4	0	0	0	0	0	0	0	207	0	74	0	0	0	0	4	0	0	0	0	6	0	0	0	0	4	19	22	0	30	0	0	50	0	0	0	3	0	0	1	0	0	0
Streptococcus phage phiARI0004	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	1	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	512	0	0	4	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0
Streptococcus phage SpSL1	1	0	0	0	0	0	0	1	0	21	0	0	4	156	0	0	0	38	2	493	0	0	1649	0	0	0	0	0	0	113	945	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	5	479	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	261	2116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	2562	0	0	0	4	66	1	0	0	0	0	0	0	0	0	0	0	0	5	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11375	0	0	0	0	0	0	0	0	0	0	0	2838	0	0	0	0	1132	63	71	0	0	2	0	149	0	0	0	0	0	0	0	0	0	0
Streptococcus phage SM1	1	0	0	0	0	0	0	21	0	41	0	0	8	82	0	0	12	1455	1	2150	0	1	44	0	0	0	1	0	0	228	1773	4	0	0	10	0	0	0	0	0	5	0	0	0	0	0	32	2050	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	1461	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	3	0	7	36	0	0	0	0	0	0	6	1	6	4	2	0	0	0	32	0	0	2190	0	3	0	0	0	0	0	0	1	0	0	34	0	0	59	0	145	0	0	0	0	8	2	547	0	0	0	4	0	0	1	0	0	0
Geobacillus virus E3	1	0	0	1	1	0	0	0	0	8	3	1	0	0	1	0	0	1	0	0	2	0	0	0	0	0	1	0	0	5	12	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	2	0	0	0	0	1	1	1	0	0	0	0	2	1	1	0	1	0	2	0	2	0	0	2	2	1	0	0	0	0	0	0	1	0	0	6	1	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	2	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	2	1	0	1	0	0	2	0	1	0	0	0	0	0	5	1	2	0	0	1	0	3	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	133	0	0	0	0	0	0	0	0	0	1
Bacteroides phage B124-14	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	20	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0
