taxonomy	Blank_234_2	UCS_0001_BAL	UCS_0002_BAL	UCS_0002_UA	UCS_0004_BAL	UCS_0005_BAL	UCS_0006_BAL	UCS_0007_BAL	UCS_0007_UA	UCS_0009_BAL	UCS_0009_UA	UCS_0010_BAL	UCS_0010_UA	UCS_0013_BAL	UCS_0013_UA	UCS_0014_BAL	UCS_0014_UA	UCS_0015_BAL	UCS_0015_UA	UCS_0016_BAL	UCS_0016_UA	UCS_0017_BAL	UCS_0018_BAL	UCS_0018_UA	UCS_0019_BAL	UCS_0020_BAL	UCS_0021_BAL	UCS_0021_UA	UCS_0022_BAL	UCS_0022_UA	UCS_0023_BAL	UCS_0023_UA	UCS_0025_BAL	UCS_0025_UA	UCS_0028_BAL	UCS_0028_UA	UCS_0029_BAL	UCS_0030_BAL	UCS_0030_UA	UCS_0031_BAL	UCS_0032_BAL	UCS_0032_UA	UCS_0033_BAL	UCS_0034_BAL	UCS_0035_BAL	UCS_0036_BAL	UCS_0037_BAL	UCS_0038_BAL	UCS_0038_UA	UCS_0039_BAL	UCS_0039_UA	UCS_0040_BAL	UCS_0040_BKG	UCS_0041_BAL	UCS_0041_UA	UCS_0042_BAL	UCS_0042_UA	UCS_0043_BAL	UCS_0043_UA	UCS_0044_BAL	UCS_0046_BAL	UCS_0046_UA	UCS_0047_BAL	UCS_0048_BAL	UCS_0048_UA	UCS_0049_BAL	UCS_0050_BAL	UCS_0050_UA	UCS_0051_BAL	UCS_0051_UA	UCS_0053_BAL	UCS_0053_UA	UCS_0054_BAL	UCS_0054_UA	UCS_0055_BAL	UCS_0055_UA	UCS_0056_BAL	UCS_0057_BAL	UCS_0057_UA	UCS_0058_BAL	UCS_0058_UA	UCS_0059_BAL	UCS_0060_BAL	UCS_0060_UA	UCS_0061_BAL	UCS_0061_UA	UCS_0062_BAL	UCS_0063_BAL	UCS_0063_UA	UCS_0064_BAL	UCS_0065_BAL	UCS_0066_BAL	UCS_0069_BAL	UCS_0069_BKG	UCS_0070_BAL	UCS_0070_BKG	UCS_0071_BAL	UCS_0072_BAL	UCS_0073_BAL	UCS_0073_UA	UCS_0074_BAL	UCS_0074_UA	UCS_0075_BAL	UCS_0076_BAL	UCS_0077_BAL	UCS_0077_UA	UCS_0079_BAL	UCS_0080_BAL	UCS_0081_BAL	UCS_0082_BAL	UCS_0083_BAL	UCS_0083_UA	UCS_0085_BAL	UCS_0085_BKG	UCS_0087_BAL	UCS_0088_BAL	UCS_0088_UA	UCS_0090_BAL	UCS_0093_BAL	UCS_0093_UA	UCS_0094_BAL	UCS_0094_UA	UCS_0095_BAL	UCS_0096_BAL	UCS_0096_UA	UCS_0097_BAL	UCS_0097_UA	UCS_0098_BAL	UCS_0099_BAL	UCS_0099_UA	UCS_0100_BAL	UCS_0101_BAL	UCS_0101_UA	UCS_0103_BAL	UCS_0106_BAL	UCS_0106_UA	UCS_0109_BAL	UCS_0114_BAL	UCS_0115_BAL	UCS_0116_BAL	UCS_0118_BAL	UCS_0123_BAL	UCS_0128_BAL	UCS_0130_BAL	UCS_0130_UA	UCS_0134_UA	UCS_0136_BKG	UCS_0138_BAL	UCS_0144_BAL	UCS_0147_BAL	UCS_0148_BAL	UCS_0148_UA	UCS_0151_BAL	UCS_0153_BAL	UCS_0153_UA	UCS_0154_BAL	UCS_0154_UA	UCS_0156_BAL	UCS_0158_BAL	UCS_0158_UA	UCS_0159_BAL	UCS_0159_UA	UCS_0160_BAL	UCS_0163_BAL	UCS_0164_BAL	UCS_0164_UA	UCS_0167_UA	UCS_0168_BAL	UCS_0172_UA	UCS_0174_BAL	UCS_0174_UA	UCS_0175_BAL	UCS_0175_UA	UCS_0176_BAL	UCS_0177_BAL	UCS_0177_UA	UCS_0180_BAL	UCS_0182_UA	UCS_0185_BAL	UCS_0185_UA	UCS_0190_BAL	UCS_0191_BAL	UCS_0191_UA	UCS_0192_BAL	UCS_0192_UA	UCS_0194_BAL
Aminoglycosides	0	25	35	987.656	2.726	25.662	0	29	507.196	1.666	1709.647	322.998	2785.173	25	149.583	22	4218.829	46.539	5517.545	168.998	15379.424	0	17.559	792.436	85	0	3	46.999	3	245.966	207.959	479.14	74.674	20	331	5609.728	1	1940.847	17075.985	0	48.334	2740.068	4.001	0	53.171	77	12.001	40.999	4292.12	54.65	9236.909	18	0	11	1269.095	2	584.973	14	246	41	1	61	0	330.948	366.246	1.001	14.001	750.349	3	474.003	952.24	19040.455	7	97.999	5.741	8997.72	29	3	620.999	65.004	903.879	4.6	210.814	40830.55	41.642	5033.503	4	153.999	1418.545	2.25	30.997	82	75.435	0	55.715	0	0	23	1.5	2335.242	1.999	54.417	10.002	1	113.403	12035.957	7	1	39	0	34.519	21171.401	2098.999	0	325.999	163.999	4947.188	6	45.726	844	9.002	2401.515	43	1099.336	2344.192	1.999	357.439	2	16	688.314	78.278	26	7528.142	3	2416.436	2202.948	602.232	10.999	2	253.417	97.909	13.999	56.245	1800.504	15287.068	2403.675	0	100.005	9	0	2	74	5	0	3709.757	26.001	2112.958	11	127.699	3872.149	8	800.054	4	1.74	3	24.001	17061.893	1	2217.033	1202.135	4405.341	65	1390.977	1107.501	12.999	11322.938	255.144	0.999	2	10322.121	0	3	158.43	20	353.928	14
Fosfomycin	0	0	5	138	0	3	0	16	399	0	70	33	207	52	200	0	8	63	161	0	454	0	37	128	15	0	0	1	0	0	3	0	29	10	0	303	0	290	2587	0	14	692	0	0	0	0	0	0	25	2	410	0	0	0	59	0	6	26	499	2	1	54	0	3	8	1	0	0	0	9	27	80	0	3	0	0	2	2	40	8	71	2	1	15	121	11546	1	10	47	0	0	0	0	0	0	0	0	3	1	384	0	10	0	0	122	14495	0	0	0	0	4	157	8	0	64	0	10	0	4	77	4	280	21	71	235	0	3	0	0	85	44	1	697	0	0	6	83	2	0	371	5	0	4	138	1043	2396	0	26	0	0	0	0	0	0	935	3	68	0	339	10149.107	0	105	1	0	0	2	1863	0	2	0	1	8	131	0	1	41	94	0	0	394	0	0	12	0	44	2
Multi-drug_resistance	0	24	120	4103	4	95	0	10	124	4	30	11	66	25	132	9	2	30	284	3	185.654	4	8	43	733	0	2	0	0	0	7	7	18	2	18	973	0	448	4259	0	34	2724.603	2	0	12	4	7	4	423	6	675	2	0	3	20	0	2	15	208	2	1	15	0	30	38	1	0	0	2	279	53	400	0	0	3	3936.514	0	0	12	4	14	5	2	247	69	6318	3	7	30	1	0	1	17	0	20	0	0	3	0	144	1	7	0	0	69	5915.001	2	0	0	0	34	4	0	0	2027.104	1.998	152	0	4	9	2	220	2	33	104	0	1	1	0	17	24	1	310.001	2	1009	444.999	41	1	2	162	10	7	7	16.214	389.87	801	0	3	1	0	4	0	5	0	233	6	141	0	141	4404.733	0	1284	7	2	5	0	1050.001	0	361	10	41	12	285	1	4	2517	51	3	1	389	0	0	4	3	17	101
Drug_and_biocide_resistance	0	14	30.999	372	11	399	0	242	6450.095	5	608	78.999	653.002	50.001	318.001	25	111.89	80	456	62	7796.667	7	28.999	1159	2588	0	20.999	88	1	5	76.999	331	134	20	26	5101.001	2	2176.999	21650.999	0	142.998	9296.466	8	1	71	0	23	8	629.999	17	8134	3	0	10	1666	1	121	32	486	95.001	3	172	0	101	237	12	1	7	5	405.999	138.999	802	0	11.001	5	16271.486	92	3	923	98	1429.001	13.999	79	23915.999	934.001	82862.116	3	122.999	689	10.999	24	51	23	0	10	0	1	28.001	11	5482	3	135.999	2	0	184.999	16551.001	14.002	2	32.999	0	119.688	13625	1322	0	7040.897	15	187	39	82	1592	23	3962	333	2224.999	4963	6	561.001	2	50.001	1693.999	363.212	6.998	1868.999	4	40	256	496.999	19	7	720.001	28	9.999	54	526.302	4438.437	2144	0	433	9	0	12	62	16	0	2848	21	1613.999	3	1365	28159.16	8	1000.999	4	5	9	64	2649.001	1	504.999	39	156	100.999	1460.999	2	6	633.999	628	0	9	13853.001	0	1	248	10	847	267.001
Multi-biocide_resistance	0	3	3	0	4	56	0	2	0	0	9	14	89	1	15	6	0	4	106	28	94	0	0	105	380	0	1	13	0	0	42	255	7	0	0	233	0	500	4972	0	18	1273.932	0	0	0	1	5	4	336	2	3	0	0	1	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	41	329	0	0	0	0	2	0	10	1	0	4.001	80	21155	132	12593.91	0	1	0	4.001	4	42	0	0	3	0	1	8	0	157	0	5	0	0	1	0	0	0	31	0	19	11538	1086	0	1145	3	90	9	0	0	1	32	21	0	0	0	0	0	0	0	72	1	283	0	6	44	0	0	0	1	9	0	1	68	487	0	0	0	0	0	2	0	4	0	0	0	0	2	0	0	8	11	0	1	2	0	189	0	324	0	0	6	102	2	0	235	77	0	1	0	0	0	0	1	0	56
betalactams	0	12.008	86.995	2060.999	12.999	75.997	0	180.005	3639.002	2.027	1077.999	54	1610.996	93.003	1672.002	4.006	92.108	2	110	21.003	10701.675	0	18	2324.999	161.001	0	0	138.999	0	29.001	112.001	754	720.001	220.999	10.995	5675.003	1	1365.999	14207.448	0	21.996	1163.999	2	8.002	58	1.005	1	56	3858.999	23.006	11440.998	1	0	41	1899	1	71.997	43.994	638.998	43.002	9.994	1993	0	75.003	222.998	14	25.996	2686.999	1.002	248.991	380.995	3511.002	0	38.998	1	1163	27	4	641.999	124	1451.001	2.966	38.001	3869	131	13715.969	31.008	142	1040.002	2	0	8	10.002	0	24.008	0	1	6	3	3584.001	3	95.999	1.998	0	105	12626.998	4.999	0	9.997	0	49.003	1991.002	182.989	0	452	7.997	370.002	1.002	54	805.998	23.999	5170	47.001	3206.003	7672	3.007	404.999	0	40.998	1382	79.943	4.012	1605.999	1	172	995	2186.999	15.997	0	14.003	83.996	4.999	114.002	548.698	2891.563	6430.999	0	465.998	8.999	0	0.997	0	1	1.003	14573.001	106	2975.998	3.996	818.002	18619.775	1	1949	4.004	0	2.997	51.001	5447.002	5.997	3035	1071.981	740.997	106	1310.005	142.999	35.004	9072.999	475	0	10	5201	0	3	300.002	9.994	1177.999	15
Iron_resistance	0	0	1	0	0	0	0	0	0	0	0	67	519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	42	6549	0	0	0	0	0	0	0	0	0	0	0	1	1	77	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	8	1763	0	0	0	0	0	0	0	0	0	0	64	538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	13	284	0	0	0	0	0	0	0	0	0	0	0	0	0
Arsenic_resistance	0	0	0	0	0	0	0	0	0	0	0	10	65	0	0	0	0	0	0	1	30	0	2	5	0	0	0	0	0	0	0	0	0	0	0	4	0	22	180	0	0	33.715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	20	17	0	0	0	0	0	0	0	0	0	1	4	219	121	8545	0	0	0	1	0	0	0	0	0	0	0	0	0	118	0	6	0	0	0	0	0	0	0	0	2	122	10	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	1	45	1	255	0	0	0	0	1	0	0	1	0	0	51	351	116.074	0	0	0	0	0	0	0	0	0	0	1	0	17	578	0	0	0	0	0	0	120.156	0	0	0	0	2	14	0	0	0	56	0	0	36	0	0	0	0	0	0
Drug_and_biocide_and_metal_resistance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	10	0	0	0	0	0	0	2	0	0	2	0	1	225	21804.089	0	0	0	5.001	0	0	0	0	0	0	0	0	1	266	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	12	128	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	16	0	0	0	202	0	0	0	0	0	0	0	0	0
Biocide_and_metal_resistance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	30	5	0	0	0	28	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	77	0	0	3.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.999	0	3	3	0	0	2	409	0	0	0	0	0	3	0	0	135	11561	0	0	0	1	0	0	0	0	0	0	0	0	0	154	0	5	0	0	0	0	0	0	0	0	3	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	3
