	Gene.symbol	baseMean	logFC	lfcSE	stat	pvalue	adj.P.Val	abundance.1	abundance.2
1	Streptococcus sp. oral taxon 431	130.033167809649	0.891598607256995	0.759317393824898	1.17421069832967	0.240310641917462	0.751190931486854	6.28305576923077e-05	8.10337857142857e-05
2	Entomoplasma freundtii	0.910283539407183	0.114577426154696	0.404246624061328	0.283434466325471	0.776843810831681	NA	2.14273076923077e-07	2.26107142857143e-07
3	Vibrio owensii	6.46916709894702	0.362330450464108	0.1889427835446	1.9176728725317	0.0551525035479179	0.490058276155034	1.40286538461538e-06	1.76446428571429e-06
4	Thermosipho melanesiensis	6.97985312533974	0.196073538753453	0.157181789495673	1.24743164830078	0.212239268130352	0.731689809775443	1.57215384615385e-06	1.67653571428571e-06
5	Halothece sp. PCC 7418	2.97522618421899	-0.519791667476339	0.255539755481818	-2.03409315507983	0.041942203985118	0.461821130589949	7.57288461538461e-07	5.41928571428571e-07
6	Thermosulfuriphilus ammonigenes	1.70263460875243	-0.303013273810448	0.311641296559986	-0.972314250887874	0.330894236313345	0.816685095661707	4.25134615384615e-07	3.275e-07
7	Epilithonimonas vandammei	16.4404774327806	-0.195383939018706	0.286269944631751	-0.682516424384131	0.49491246084115	0.910298594955357	4.02459615384615e-06	3.82625e-06
8	Candidatus Pseudomonas adelgestsugas	2.20829637659045	0.200324559351639	0.287654510396328	0.696406807860005	0.486174100797891	0.905015218185682	4.95484615384615e-07	5.60571428571429e-07
9	Bacillus velezensis	139.708025325299	-0.0154278686544773	0.219429794142597	-0.0703089054736635	0.94394779450752	0.992789947555977	3.35496153846154e-05	3.10331785714286e-05
10	Actinoplanes missouriensis	7.18799199252273	-0.096235027222427	0.236281053176287	-0.407290495487283	0.683794642664179	0.952794499778436	1.6685e-06	1.50114285714286e-06
11	Acinetobacter sp. WCHAc010052	1.85261583022143	0.244405364006514	0.294566985457797	0.829710646719879	0.406702400451745	0.863860535788319	3.98769230769231e-07	4.66821428571429e-07
12	Acinetobacter sp. WCHA55	2.69395886018313	0.57756170752786	0.303283811479148	1.90436048897905	0.0568632512863419	0.496810806608376	5.64407692307692e-07	7.38928571428571e-07
13	Mycobacterium sp. MS1601	2.78754094700977	-1.24058117496669	0.408040332388365	-3.04033958531807	0.00236311538356157	0.128421345683012	7.57711538461539e-07	3.14821428571429e-07
14	Coprothermobacter proteolyticus	1.0149504355937	1.70898562559	0.545483094712299	3.1329763326421	0.00173043394803323	0.104328824344061	1.36826923076923e-07	5.39892857142857e-07
15	Arcanobacterium phocae	0.97378864758951	0.293938117572894	0.752511304874526	0.390609570472706	0.696085850372324	0.955983121679817	2.12884615384615e-07	2.67035714285714e-07
16	Sinorhizobium sp. CCBAU 05631	4.66662593579452	-0.0741787959662801	0.216378654437179	-0.342819379107546	0.731734346038047	0.967242147452945	1.13730769230769e-06	1.02596428571429e-06
17	endosymbiont of Euscepes postfasciatus	0.908529314260087	0.167593857220399	0.451260411994477	0.371390560230331	0.710346655474409	NA	1.92288461538462e-07	2.23285714285714e-07
18	Rickettsia africae	1.34037322828595	-0.974651551242313	0.488677285713286	-1.99446870099494	0.0461008571367015	0.467858899535923	3.59538461538462e-07	1.84678571428571e-07
19	Rickettsia helvetica	1.16265941839805	0.0736578702738679	0.419093731701889	0.175755122785426	0.860486327549413	0.983407013367853	2.75096153846154e-07	2.68571428571429e-07
20	Actinomadura sp. WMMB 499	8.43512966061908	-0.865764556816909	0.273723380452047	-3.16291781647268	0.0015619641925462	0.100755356500583	2.28611538461538e-06	1.73207142857143e-06
21	Polaribacter sp. MED152	9.33526759704597	0.0156384696647318	0.185959222980472	0.0840962304213006	0.932979921717011	0.991573574813404	2.1815e-06	2.1135e-06
22	Chitinibacter fontanus	5.89666684331135	0.150706493360995	0.220831629500495	0.682449763658778	0.494954598127685	0.910298594955357	1.31236538461538e-06	1.35214285714286e-06
23	Candidatus Methylopumilus universalis	4.25698656133794	-0.129039813338323	0.247430358286831	-0.52151972875024	0.6020047657417	0.936328738863144	1.01680769230769e-06	9.83857142857143e-07
24	Candidatus Kinetoplastibacterium sorsogonicusi	6.97047550289238	-0.108745217164901	0.202372059597806	-0.537352920067233	0.591023857264667	0.934032074614017	1.71171153846154e-06	1.51221428571429e-06
25	Xanthomonas citri	85684.5068138723	-0.115737243783748	0.117712954135663	-0.983215862974285	0.325501209153682	0.812676155376533	0.0205265519615385	0.0179660798928571
26	Xanthomonas oryzae	11.0451003169474	-0.0958885519012429	0.145572136305273	-0.658701275772713	0.510087613590934	0.914850276453152	2.58653846153846e-06	1.657975e-05
27	Pedobacter sp. eg	6.95615179741086	0.296612210892641	0.188425668558815	1.57416032094404	0.115450390033059	0.607429639881925	1.54761538461538e-06	1.81217857142857e-06
28	Campylobacter insulaenigrae	6.97600135899364	-0.221835753145577	0.158654115774331	-1.39823509817492	0.162042480221493	0.67348905842058	1.70884615384615e-06	1.38567857142857e-06
29	Xanthomonas translucens	4.9726632268099	-0.408619940452239	0.220090006908235	-1.85660378766134	0.0633675446729234	0.514060306223041	1.27553846153846e-06	9.34392857142857e-07
30	Arsenophonus endosymbiont of Aphis craccivora	3.31532314109142	0.13141053863261	0.251095423939125	0.523348998444785	0.600731408987626	0.936091383255991	7.54846153846154e-07	8.05178571428571e-07
31	Maridesulfovibrio hydrothermalis	2.45293624506208	0.636322183826104	0.346342816136932	1.83726110136647	0.0661713593807436	0.518029425869688	4.7725e-07	8.32035714285714e-07
32	Iodobacter sp. H11R3	2.53713363390801	-0.385531265020219	0.306042021875653	-1.25973310023701	0.207765660474225	0.726676573035803	6.56480769230769e-07	4.4225e-07
33	Jeotgalibaca ciconiae	7.76808299737824	0.21818200930462	0.214322996872977	1.01800559197075	0.308675298604083	0.801667502130028	1.69367307692308e-06	1.96525e-06
34	Pseudomonas sp. ACM7	1.68659276488407	0.513867722136798	0.337771936070143	1.52134522517017	0.128173226697414	0.629730247580825	1.02001923076923e-06	4.57714285714286e-07
35	Monaibacterium sp. ALG8	0.411797636286031	-0.0187400175094118	0.539980715141564	-0.0347049755369483	0.972314993414213	NA	9.82115384615385e-08	1.04178571428571e-07
36	Microvirgula aerodenitrificans	1.19381446354553	-0.601684324098934	0.434165110775781	-1.38584218115506	0.165795099095274	0.675747713346538	5.64519230769231e-07	2.10821428571429e-07
37	Pseudomonas asturiensis	3.04708192465093	0.279465672334183	0.441685130301616	0.63272601489514	0.526912578340277	0.920438048546968	7.00865384615385e-07	7.98107142857143e-07
38	Streptomyces sp. M56	1.82337224369354	0.618953074297919	0.380712235760827	1.62577667896852	0.103997171172782	0.582706987923771	3.15634615384615e-07	5.04178571428571e-07
39	Erythrobacter sp. HL-111	3.54742329645132	0.253543176712691	0.269447142249161	0.940975564247167	0.346717381680796	0.824442809029806	7.77826923076923e-07	8.95178571428571e-07
40	Gordonia sp. KTR9	4.44639258485846	0.15370773238118	0.207530306682896	0.740651979163908	0.458904482792307	0.889303395717914	1.00707692307692e-06	1.12178571428571e-06
41	Sulfitobacter pseudonitzschiae	2.29258133267447	-0.262743348685249	0.36951322053793	-0.711052633794138	0.477051620298194	0.9010964885977	6.10942307692308e-07	4.7e-07
42	Tamlana carrageenivorans	8.51735507185374	0.104351569936691	0.172670232653961	0.604340240542885	0.545617457742625	0.920438048546968	1.94280769230769e-06	1.99125e-06
43	Paenibacillus sp. FSL P4-0081	2.67853767112814	-0.241800361162906	0.268030719299402	-0.902136746843576	0.366984230597113	0.837353634960636	6.79269230769231e-07	5.63107142857143e-07
44	Dokdonia sp. MED134	7.03278091274141	0.660503866461813	0.274176969680955	2.40904211331246	0.015994452236415	0.322116482193337	1.38159615384615e-06	2.16992857142857e-06
45	Basilea psittacipulmonis	1.34562149282093	-0.134448740715051	0.384464513539812	-0.349703902389235	0.726560924700842	0.967229674901387	5.22480769230769e-07	3.00035714285714e-07
46	Streptomyces sp. CFMR 7	3.88651808283328	0.337707662967075	0.268569110936892	1.25743300035137	0.208596885841658	0.728072279726341	8.2175e-07	9.71964285714286e-07
47	Acinetobacter sp. WCHA45	6.39330195657427	0.165817574022768	0.233840518814381	0.709105397402881	0.478259073798724	0.9010964885977	1.42919230769231e-06	1.46167857142857e-06
48	Streptomyces sp. fd1-xmd	9.24874241859887	0.195744234069061	0.336882993501527	0.581045163587855	0.5612100151106	0.928210394879574	1.98725e-06	2.13221428571429e-06
49	Paenalcaligenes hominis	0.95773840837377	0.0486537170002135	0.438899619004186	0.110853860184712	0.911732234251812	0.988239642441356	2.16961538461538e-07	2.15142857142857e-07
