	Gene.symbol	baseMean	logFC	lfcSE	stat	pvalue	adj.P.Val	abundance.1	abundance.2
1	Streptococcus sp. oral taxon 431	150.416467432385	0.623279661575959	0.832365303735658	0.748805432877462	0.453974484720634	0.907678617765858	2.95701315789474e-05	8.10337857142857e-05
2	Entomoplasma freundtii	1.0261811426747	-0.145861016213799	0.426525012391007	-0.341975293303747	0.732369485630855	NA	2.34131578947368e-07	2.26107142857143e-07
3	Vibrio owensii	7.91683966233493	-0.0734474514519305	0.206469031132879	-0.355731080099182	0.722041967012012	0.961422985839357	1.64894736842105e-06	1.76446428571429e-06
4	Thermosipho melanesiensis	7.76289067711254	-0.00862853923364014	0.164379537967171	-0.0524915651932503	0.958137016071519	0.996320194760614	1.69376315789474e-06	1.67653571428571e-06
5	Halothece sp. PCC 7418	2.61590282409762	-0.228661496561932	0.292387429925319	-0.782049681890689	0.434185376539472	0.89818660204785	5.71657894736842e-07	5.41928571428571e-07
6	Thermosulfuriphilus ammonigenes	1.51642194900102	-0.0446443628543453	0.346631822684912	-0.128794761278819	0.897520050898933	NA	3.33415789473684e-07	3.275e-07
7	Epilithonimonas vandammei	14.1086448425181	0.212749492874838	0.270252296791549	0.787225475604141	0.431149886557392	0.89818660204785	2.98947368421053e-06	3.82625e-06
8	Candidatus Pseudomonas adelgestsugas	2.30541778984331	0.0963781861749311	0.300379354466549	0.320854894791593	0.748320356822908	0.964172353276212	5.07628947368421e-07	5.60571428571429e-07
9	Bacillus velezensis	130.116478421023	0.203905420711945	0.234457956756735	0.86968863643007	0.384470583976207	0.880063167658777	2.74645789473684e-05	3.10331785714286e-05
10	Actinoplanes missouriensis	6.63446102523123	0.170030746785301	0.240087265001391	0.70820393903157	0.478818620377804	0.911447395297278	1.36989473684211e-06	1.50114285714286e-06
11	Acinetobacter sp. WCHAc010052	2.27850694530028	-0.211491628556324	0.296234861454087	-0.713932274946318	0.475269058726705	0.911447395297278	5.06842105263158e-07	4.66821428571429e-07
12	Acinetobacter sp. WCHA55	3.07237908787564	0.291553135153137	0.302857258267082	0.962675079413232	0.335710606613044	0.849355181955348	5.91921052631579e-07	7.38928571428571e-07
13	Mycobacterium sp. MS1601	2.27129590124754	-0.971306242097149	0.318308994604652	-3.05145710162396	0.0022773358788422	0.103168611441502	5.89105263157895e-07	3.14821428571429e-07
14	Coprothermobacter proteolyticus	1.24064117772151	1.16054214308403	0.675056588896785	1.7191775655144	0.0855820445257351	NA	1.68710526315789e-07	5.39892857142857e-07
15	Arcanobacterium phocae	1.29559720918383	-0.365181840837056	0.711806963117002	-0.513034937503176	0.607926881794931	NA	3.11842105263158e-07	2.67035714285714e-07
16	Sinorhizobium sp. CCBAU 05631	5.23306311158928	-0.284392466508713	0.236007828911498	-1.20501284987186	0.228198341318368	0.782564329627457	1.16210526315789e-06	1.02596428571429e-06
17	endosymbiont of Euscepes postfasciatus	0.808406200531873	0.525199882892164	0.511446463928127	1.02689121918725	0.304471689454863	NA	1.38573684210526e-07	2.23285714285714e-07
18	Rickettsia africae	1.35850219099983	-1.12064054561436	0.47642419221996	-2.35219068198991	0.0186632048773628	NA	3.81263157894737e-07	1.84678571428571e-07
19	Rickettsia helvetica	1.14282381934273	0.124526094936832	0.488319968990086	0.255009221094049	0.798715977230681	NA	2.28842105263158e-07	2.68571428571429e-07
20	Actinomadura sp. WMMB 499	7.38168469068601	-0.680693363625136	0.274388140803098	-2.4807681616007	0.0131099610574569	0.280639605933253	2.50610526315789e-06	1.73207142857143e-06
21	Polaribacter sp. MED152	8.4099606222719	0.303828728843055	0.212813295286047	1.42767738469851	0.153384738451155	0.716711999565967	1.66142105263158e-06	2.1135e-06
22	Chitinibacter fontanus	6.24757575957077	0.0778213487425467	0.237256083306362	0.32800570446094	0.742907349491995	0.961903301303029	1.32678947368421e-06	1.35214285714286e-06
23	Candidatus Methylopumilus universalis	4.80844795293135	-0.361117970386466	0.241860114105638	-1.49308608292783	0.135414655025712	0.699933395571505	1.17981578947368e-06	9.83857142857143e-07
24	Candidatus Kinetoplastibacterium sorsogonicusi	6.99765839144582	-0.0903943148500289	0.202080992818398	-0.447317254281618	0.654646010694068	0.935277175527718	1.58147368421053e-06	1.51221428571429e-06
25	Xanthomonas citri	82655.1444875797	-0.00221942212473371	0.135500800878134	-0.0163794022644176	0.98693171215786	0.998960559893972	0.0181862490789474	0.0179660798928571
26	Xanthomonas oryzae	11.626400419282	-0.188680456046105	0.15646169149516	-1.20592110594651	0.22784791176234	0.782564329627457	2.55897368421053e-06	1.657975e-05
27	Pedobacter sp. eg	7.86191466816126	0.0325193850408576	0.189758653708959	0.171372342737707	0.863931000355765	0.980161670758899	1.72660526315789e-06	1.81217857142857e-06
28	Campylobacter insulaenigrae	7.04876134318133	-0.300635719758913	0.237069493563106	-1.26813330235122	0.204750350600461	0.767610293533635	1.57260526315789e-06	1.38567857142857e-06
29	Xanthomonas translucens	4.34305475271813	-0.0605954256412793	0.219498714714901	-0.276062781141951	0.782499846577855	0.969692404274494	9.49447368421053e-07	9.34392857142857e-07
30	Arsenophonus endosymbiont of Aphis craccivora	3.4118655642697	0.191146485516749	0.250020313262388	0.76452382217499	0.444555145992984	0.905876921685391	6.95763157894737e-07	8.05178571428571e-07
31	Maridesulfovibrio hydrothermalis	2.72499663160529	0.511455905571507	0.337594294124875	1.51500162909247	0.129771991559804	0.69449406472115	4.92315789473684e-07	8.32035714285714e-07
32	Iodobacter sp. H11R3	2.22859717415455	-0.178409569569805	0.301677057758589	-0.59139256692358	0.55425741961081	0.920454999901302	4.78868421052632e-07	4.4225e-07
33	Jeotgalibaca ciconiae	7.29869324131972	0.432582060441439	0.225651464869355	1.91703634936245	0.0552333139065999	0.527423997500278	2.38736842105263e-06	1.96525e-06
34	Pseudomonas sp. ACM7	1.95511157497711	0.306431297083731	0.374540457158335	0.818152728836418	0.41326998344824	NA	4.04736842105263e-07	4.57714285714286e-07
35	Monaibacterium sp. ALG8	0.514173551822652	-0.370796579103076	0.548651832438837	-0.675832207567469	0.499147183411086	NA	1.28578947368421e-07	1.04178571428571e-07
36	Microvirgula aerodenitrificans	1.23722157106399	-0.753640365662025	0.514423954737156	-1.46501802398976	0.14291600032175	NA	2.89973684210526e-07	2.10821428571429e-07
37	Pseudomonas asturiensis	3.21701779219489	0.26427676421931	0.378055462888854	0.69904231035277	0.484525589590906	0.911447395297278	6.26842105263158e-07	7.98107142857143e-07
38	Streptomyces sp. M56	1.54205483579577	1.35416431305469	0.404710842593003	3.34600453098438	0.000819850560024658	NA	1.98023684210526e-07	5.04178571428571e-07
39	Erythrobacter sp. HL-111	3.91711075992993	0.0559182334699918	0.247861323444634	0.225602900415734	0.82151028480186	0.972688740587269	8.32421052631579e-07	8.95178571428571e-07
40	Gordonia sp. KTR9	4.25944284200611	0.273401320437936	0.275060680015963	0.993967296314649	0.320238789337434	0.842948073885908	7.84578947368421e-07	1.12178571428571e-06
41	Sulfitobacter pseudonitzschiae	2.21633149494447	-0.132046513345644	0.315320205212017	-0.418769590920625	0.675384530776015	0.947191552161035	5.12657894736842e-07	4.7e-07
42	Tamlana carrageenivorans	9.1104364335558	-0.0691596152082275	0.206307278577594	-0.335226249335725	0.737454422357924	0.961422985839357	1.87344736842105e-06	1.99125e-06
43	Paenibacillus sp. FSL P4-0081	2.15070591162338	0.227800025727435	0.275156606952757	0.827892261974821	0.407731517585688	0.888435118855616	5.45994736842105e-07	5.63107142857143e-07
44	Dokdonia sp. MED134	6.65455888460505	1.01186459501813	0.302311910130297	3.34708809382341	0.000816652536880615	0.051317391672369	1.02081578947368e-06	2.16992857142857e-06
45	Basilea psittacipulmonis	1.48214196156982	-0.293164669970482	0.330262285053524	-0.887672263040785	0.374717070069412	NA	3.63605263157895e-07	3.00035714285714e-07
46	Streptomyces sp. CFMR 7	3.65157897671972	0.6069768544046	0.264505873908882	2.2947575622222	0.021747021942187	0.360537861645789	6.28842105263158e-07	9.71964285714286e-07
47	Acinetobacter sp. WCHA45	7.42350673337476	-0.16591191867731	0.203074301284934	-0.817001056399148	0.413927824342161	0.891959515285984	1.67984210526316e-06	1.46167857142857e-06
48	Streptomyces sp. fd1-xmd	12.9911910933593	-0.559025004548522	0.440627545335052	-1.2687019013381	0.204547404086426	0.767610293533635	2.78676315789474e-06	2.13221428571429e-06
49	Paenalcaligenes hominis	1.10593035419377	-0.190121391669372	0.556419269644436	-0.341687288779312	0.732586239077799	NA	2.63605263157895e-07	2.15142857142857e-07
50	Streptosporangium sp. 'caverna'	15.2662682569541	0.130583963920059	0.14798293006374	0.882425857251323	0.377546557881165	0.873987753716589	3.12468421052632e-06	3.4625e-06
51	Neobacillus cucumis	8.55191642349797	0.121893776063066	0.188345827468845	0.647180655399592	0.517515029659807	0.911447395297278	1.78260526315789e-06	2.022e-06
52	Pseudomonas palleroniana	0.947423753347854	-0.752002205206307	0.646861564907551	-1.16253963135649	0.245016336211987	NA	2.62947368421053e-07	1.37607142857143e-07
53	Planctomyces sp. SH-PL62	4.13642343642424	0.183186009273991	0.270645494839503	0.676848544560563	0.498502054130895	0.911447395297278	8.10657894736842e-07	1.0225e-06
54	Candidatus Planktophila versatilis	0.852171557517231	-0.514139593349784	0.55046480898023	-0.934009922091586	0.350298774861196	NA	2.29605263157895e-07	1.68428571428571e-07
55	Serratia plymuthica	19.1820443388921	-0.558935383029221	0.188805128142096	-2.96038242461594	0.00307257376903064	0.123385010098749	4.93428947368421e-06	3.36957142857143e-06
56	Wenzhouxiangella sp. AB-CW3	13.5140632077315	0.325221611050417	0.163560617032358	1.98838581653233	0.046769036227065	0.485899107041721	2.56002631578947e-06	3.16857142857143e-06
57	Nocardioides daphniae	2.86072777651212	0.185693385504596	0.350158176339631	0.530312864448108	0.59589502876631	0.92676532215514	6.13626315789474e-07	6.75785714285714e-07
58	Tolypothrix sp. PCC 7910	7.75112008391856	0.0905143947191521	0.15597908538829	0.580298278412314	0.561713488201857	0.920454999901302	1.65602631578947e-06	1.77585714285714e-06
59	Gynuella sunshinyii	3.05533823465173	0.273100031089584	0.3235730893736	0.844013424040529	0.398661904260585	0.886820282614256	6.19605263157895e-07	7.43571428571429e-07
60	Actinomyces sp. oral taxon 897	9.31693402755432	0.375372767863318	0.374565558832536	1.00215505406663	0.316268711648764	0.842948073885908	2.67447368421053e-06	2.42503571428571e-06
61	Pelagibaca abyssi	1.77705661264813	-0.486552635854572	0.322692890644503	-1.5077885195512	0.131608661352091	NA	4.17131578947368e-07	3.16571428571429e-07
62	Photorhabdus thracensis	6.12613100938982	0.00462046653357491	0.243282094283249	0.0189922178497665	0.984847313547701	0.998960559893972	1.3325e-06	1.36542857142857e-06
63	Ktedonosporobacter rubrisoli	6.25302449000532	-0.185203622974043	0.211833875364373	-0.874287092446741	0.381961926808708	0.877431407338871	1.49455263157895e-06	1.25696428571429e-06
64	Pseudomonas fragi	2.89217334301621	-0.829446579623161	0.378492180811784	-2.19144970932868	0.0284192652422703	0.405716446235617	8.05315789473684e-07	4.52214285714286e-07
65	Pseudomonas fluorescens	13821.5500827557	0.0254190471620252	0.118400593593881	0.214686822003728	0.830011497545453	0.974997248821548	0.00304471794736842	0.00307496239285714
66	Streptococcus sp. HSISS3	4.28183155206505	0.358834151924405	0.73842488455774	0.485945367536359	0.627005901275598	0.929916077651587	7.91289473684211e-07	1.08117857142857e-06
67	Burkholderia cepacia	8.36559141907273	-0.00369556344166228	0.20618414270608	-0.0179236065061045	0.985699796769201	0.998960559893972	1.81539473684211e-06	1.22629285714286e-05
68	Dehalobacter restrictus	3.16508536916772	-0.164464647279655	0.277544676249117	-0.592569994504364	0.553468964864244	0.920454999901302	7.33078947368421e-07	6.85928571428571e-07
69	Roseburia intestinalis	14.2199185479393	0.0112936760556295	0.293300651686585	0.038505458445751	0.969284679502717	0.997840447754611	2.98113157894737e-06	3.82314285714286e-06
70	Hymenobacter sp. S2-20-2	3.0507680702539	0.183665284032174	0.304984466952882	0.602211928585034	0.547033076426098	0.920454999901302	6.11815789473684e-07	7.45035714285714e-07
71	Mycolicibacterium sp. LJ126	1.81436764420714	-0.596942019310631	0.35330733833556	-1.68958284909348	0.0911077894171065	NA	4.5195e-07	2.97714285714286e-07
72	Intestinibaculum porci	5.40942090685913	0.502606022915908	0.404612800444212	1.24219011945275	0.214166424299554	0.767610293533635	8.77973684210526e-07	1.57242857142857e-06
73	Halomonas sp. GFAJ-1	1.0882937494303	0.277069093848874	0.529353868411587	0.523409972765979	0.600688985658941	NA	2.18815789473684e-07	3.28428571428571e-07
74	Marivirga tractuosa	9.6930959483343	-0.0820568631038303	0.192586714058161	-0.426077486731765	0.670051384403944	0.945364543692323	2.16981578947368e-06	2.24117857142857e-06
75	Runella sp. HYN0085	5.56003137775042	0.0682380088865605	0.205615623334864	0.331871711788305	0.739986131666214	0.961903301303029	1.16605263157895e-06	1.297e-06
76	Pontibacter actiniarum	3.64828333120528	-0.328295993803758	0.324380464876688	-1.01207079140403	0.311504206829411	0.842207071344473	8.19763157894737e-07	7.52714285714286e-07
