	Gene.symbol	baseMean	logFC	lfcSE	stat	pvalue	adj.P.Val	abundance.1	abundance.2
1	Streptococcus sp. oral taxon 431	42.2463128690372	1.20348630344761	0.558322262679667	2.15554059705855	0.0311195553308499	0.391092834043429	2.95701315789474e-05	6.28305576923077e-05
2	Entomoplasma freundtii	0.965085388377771	-0.267624548932703	0.348370170130573	-0.768218900121082	0.442357146709082	NA	2.34131578947368e-07	2.14273076923077e-07
3	Vibrio owensii	6.88242165637968	-0.43712393676285	0.170137929341124	-2.5692327305008	0.0101923980637464	0.218708145883919	1.64894736842105e-06	1.40286538461538e-06
4	Thermosipho melanesiensis	7.29051185004878	-0.204593574173235	0.132248267579153	-1.54704162041883	0.121853209806394	0.630191626422806	1.69376315789474e-06	1.57215384615385e-06
5	Halothece sp. PCC 7418	3.1068505751216	0.285705222640898	0.221580186373889	1.28939878297063	0.197259484310603	0.725300513393167	5.71657894736842e-07	7.57288461538461e-07
6	Thermosulfuriphilus ammonigenes	1.67307113011316	0.249908401534072	0.269735197103333	0.926495334008392	0.354188620843759	0.832093273167222	3.33415789473684e-07	4.25134615384615e-07
7	Epilithonimonas vandammei	15.7774575163572	0.400573822261232	0.242592121911519	1.65122353976249	0.0986929381645487	0.583765774364917	2.98947368421053e-06	4.02459615384615e-06
8	Candidatus Pseudomonas adelgestsugas	2.18273109783901	-0.107857291624584	0.258192128923814	-0.417740432576896	0.676136907069214	0.937019768294496	5.07628947368421e-07	4.95484615384615e-07
9	Bacillus velezensis	134.110163738806	0.217820618732352	0.19116581414077	1.13943290389753	0.254522638571247	0.765117049241258	2.74645789473684e-05	3.35496153846154e-05
10	Actinoplanes missouriensis	6.93533436227975	0.26999378539237	0.206849892057882	1.30526432818644	0.191802856296374	0.721488428977755	1.36989473684211e-06	1.6685e-06
11	Acinetobacter sp. WCHAc010052	2.01000754443294	-0.456132015249822	0.244711781022277	-1.86395609293653	0.0623278705004691	0.494120950885741	5.06842105263158e-07	3.98769230769231e-07
12	Acinetobacter sp. WCHA55	2.54210955852527	-0.289072544850683	0.273998479626781	-1.05501514185201	0.29141839965776	0.796675683833178	5.91921052631579e-07	5.64407692307692e-07
13	Mycobacterium sp. MS1601	3.22466502704268	0.319678911823574	0.308974927392091	1.0346435373311	0.300835413663155	0.801320464365947	5.89105263157895e-07	7.57711538461539e-07
14	Coprothermobacter proteolyticus	0.520690481464726	0.198079316949167	0.578406466198928	0.342456954623745	0.732007032956403	NA	1.68710526315789e-07	1.36826923076923e-07
15	Arcanobacterium phocae	1.1302320736892	-0.667855315858999	0.608677496526764	-1.09722360309017	0.272543657655285	0.783067553903114	3.11842105263158e-07	2.12884615384615e-07
16	Sinorhizobium sp. CCBAU 05631	5.19775294079808	-0.21424638669608	0.204636640481685	-1.04696004680185	0.295118005500768	0.798707066544387	1.16210526315789e-06	1.13730769230769e-06
17	endosymbiont of Euscepes postfasciatus	0.772992579517664	0.337630899841112	0.414302820443447	0.814937488187337	0.415108093234552	NA	1.38573684210526e-07	1.92288461538462e-07
18	Rickettsia africae	1.71438083114227	-0.151032426486313	0.389045164222671	-0.3882130929145	0.697858344784467	0.943128424038489	3.81263157894737e-07	3.59538461538462e-07
19	Rickettsia helvetica	1.14976370805019	0.0596208085495671	0.391400931407723	0.152326690524556	0.878929274561744	0.974551061843092	2.28842105263158e-07	2.75096153846154e-07
20	Actinomadura sp. WMMB 499	8.27142627817199	-0.161292111825913	0.205013083010837	-0.786740579953072	0.431433743735015	0.866557923662383	2.50610526315789e-06	2.28611538461538e-06
21	Polaribacter sp. MED152	8.77834456598316	0.280605705269012	0.136543410443614	2.05506588972222	0.0398726410061428	0.419002072190084	1.66142105263158e-06	2.1815e-06
22	Chitinibacter fontanus	5.90211569330826	-0.0735860577091991	0.197697927899326	-0.372214612925389	0.709733066967394	0.947380760778438	1.32678947368421e-06	1.31236538461538e-06
