	Gene.symbol	baseMean	logFC	lfcSE	stat	pvalue	adj.P.Val	abundance.1	abundance.2
1	Streptococcus sp. oral taxon 431	566.151583809298	1.75047817760406	0.586937567340352	2.98239246388023	0.0028600510370489	0.062587066038366	0.00314037536538462	0.00177199455
2	Entomoplasma freundtii	0.213473324333458	0.388411799283832	1.24855944508503	0.311087950848331	0.755733760848529	NA	2.34609615384615e-07	1.90207142857143e-07
3	Vibrio owensii	0.63245459127653	0.113302976015568	0.722629005330224	0.156792732065593	0.875408200976338	NA	4.53769230769231e-07	3.79017857142857e-07
4	Thermosipho melanesiensis	1.66626912606495	0.059143134286624	0.531637823714007	0.111247040087276	0.91142045050939	0.978237813425654	4.09792307692308e-06	8.82846428571429e-07
5	Halothece sp. PCC 7418	1.02732131807411	0.790444546641701	0.652154819870118	1.2120504557478	0.225493067165064	NA	1.42320192307692e-06	1.24935714285714e-06
6	Thermosulfuriphilus ammonigenes	0.21051401929684	-0.35412371973212	2.24976142580372	-0.15740501000261	0.87492566526588	NA	6.25e-08	1.74439285714286e-07
7	Epilithonimonas vandammei	42.1117582691971	1.04874914054357	0.640343820835674	1.63779067809995	0.101465366838377	0.464311720476823	0.000143563361538462	4.88088928571429e-05
8	Candidatus Pseudomonas adelgestsugas	1.07120248349721	0.359225331027065	0.779252283203261	0.460987203720985	0.644807785821436	NA	1.32775961538462e-06	1.36724285714286e-06
9	Bacillus velezensis	34.6964238287198	-2.06276256773028	0.685483245443602	-3.00920931538653	0.00261928591566762	0.0592457528543867	0.000895202576923077	6.30278214285714e-06
10	Actinoplanes missouriensis	0.440941548048962	-0.630026757025923	0.846920139300659	-0.743903383318013	0.456934928396808	NA	6.36434615384615e-07	3.23635714285714e-07
11	Acinetobacter sp. WCHAc010052	0.47348615459593	0.965366986610596	0.69243801928908	1.39415653057544	0.163270341401263	NA	7.32144230769231e-07	6.09075357142857e-07
12	Acinetobacter sp. WCHA55	0.849592927605305	0.105657859683894	0.682682978602818	0.154768557288676	0.877003780130008	NA	3.76305769230769e-07	7.39514642857143e-07
13	Mycobacterium sp. MS1601	1.0458512310657	-1.11134762293373	0.965791685511724	-1.15071152465439	0.249850933699089	NA	2.35478461538462e-06	7.95342857142857e-06
14	Coprothermobacter proteolyticus	0.154769150657881	0.116746227148796	1.63264439275138	0.0715074437931038	0.942993900435768	NA	5.13461538461538e-08	1.35289285714286e-07
15	Arcanobacterium phocae	0.179310837367218	0.0530260632025524	1.45030114543951	0.0365621053043318	0.9708341589008	NA	7.11848076923077e-07	1.93592857142857e-07
16	Sinorhizobium sp. CCBAU 05631	0.765393659982789	1.35010238043018	1.06008808396803	1.27357565927596	0.202813843133259	NA	1.02363461538462e-06	1.28671428571429e-06
17	endosymbiont of Euscepes postfasciatus	0.256762654800589	-0.494372308075096	1.03175807130605	-0.479155261125602	0.631828179050406	NA	5.86980769230769e-07	9.84928571428571e-08
18	Rickettsia africae	0.0329335188100337	-0.0954349194058525	3.061093663402	-0.0311767393944389	0.975128590169381	NA	8.42307692307692e-09	6.39285714285714e-09
19	Rickettsia helvetica	0.0712758826129184	-0.110422960530618	2.20841642520558	-0.0500009686897432	0.960121616386208	NA	8.68346153846154e-08	3.88935714285714e-06
