	Gene.symbol	baseMean	logFC	lfcSE	stat	pvalue	adj.P.Val	abundance.1	abundance.2
1	Streptococcus sp. oral taxon 431	670.874510467073	2.10186278595967	0.616937744880018	3.40692850032776	0.000656983349200995	0.0232791100066886	0.000279534894736842	0.00177199455
2	Entomoplasma freundtii	0.434271026650417	-0.402853822852987	1.09725612057816	-0.367146571614217	0.713509690129693	NA	3.48347368421053e-07	1.90207142857143e-07
3	Vibrio owensii	0.948579418836936	-0.518983395810929	0.78010035962013	-0.665277729218902	0.505872872371626	NA	1.49638157894737e-06	3.79017857142857e-07
4	Thermosipho melanesiensis	1.74107422813004	0.252344076467308	0.542224430057793	0.465386770641101	0.641654506296854	0.859989262681494	2.79363684210526e-06	8.82846428571429e-07
5	Halothece sp. PCC 7418	1.15690606793457	0.981548924687531	0.609010870235212	1.61171002466415	0.107025055216476	NA	1.67625789473684e-06	1.24935714285714e-06
6	Thermosulfuriphilus ammonigenes	0.126129540897756	-0.29563826491412	1.73016449972674	-0.170872922754346	0.864323688021153	NA	2.73157894736842e-08	1.74439285714286e-07
7	Epilithonimonas vandammei	88.6340060819585	-0.516504593869279	0.769991895777846	-0.67079224690736	0.502352887233479	0.776728900551546	0.000220627636842105	4.88088928571429e-05
8	Candidatus Pseudomonas adelgestsugas	1.02579287164098	0.915747735455257	0.848943544128718	1.07869097042855	0.280725512285399	NA	9.55423684210526e-07	1.36724285714286e-06
9	Bacillus velezensis	29.5548109009197	-1.73310835549267	0.837365873498028	-2.06971457799295	0.0384790807731899	0.227630673417785	0.000181922236842105	6.30278214285714e-06
10	Actinoplanes missouriensis	0.406983885580165	-0.275846867536339	1.02439176858645	-0.269278684186401	0.787715234117725	NA	7.58678947368421e-07	3.23635714285714e-07
11	Acinetobacter sp. WCHAc010052	0.49680684485197	1.00371923156442	0.757887726649838	1.32436401365313	0.18538218009868	NA	3.71976315789474e-07	6.09075357142857e-07
12	Acinetobacter sp. WCHA55	0.695731738609802	0.971241366713962	0.710950338321565	1.36611703288151	0.171902232957094	NA	2.05914473684211e-06	7.39514642857143e-07
13	Mycobacterium sp. MS1601	1.74742910446888	-1.9630453687076	0.829791085499738	-2.36571036133193	0.0179955167022194	0.159495190109424	2.04392631578947e-06	7.95342857142857e-06
14	Coprothermobacter proteolyticus	0.11814575652225	0.694768719804051	1.93314733194242	0.359397707729783	0.719297589304839	NA	2.28073684210526e-07	1.35289285714286e-07
15	Arcanobacterium phocae	0.94107630867007	-0.861792201274328	1.22045580331072	-0.70612323603735	0.480111502852316	NA	8.40394736842105e-07	1.93592857142857e-07
16	Sinorhizobium sp. CCBAU 05631	0.960869894760183	1.29341962053915	1.29480779401035	0.998927892249631	0.317829623365887	NA	1.14781578947368e-06	1.28671428571429e-06
17	endosymbiont of Euscepes postfasciatus	0.473192937275065	-1.33364683854152	1.11937378493237	-1.19142225456182	0.233487860668339	NA	2.98376315789474e-07	9.84928571428571e-08
18	Rickettsia africae	0.0228774286710938	0.206502380916591	2.96105302612989	0.0697395079028661	0.944400995558303	NA	1.10263157894737e-09	6.39285714285714e-09
19	Rickettsia helvetica	0.155824354304131	-0.384935423088077	1.1687957172382	-0.329343629011284	0.741895970606645	NA	7.68697368421053e-07	3.88935714285714e-06
20	Actinomadura sp. WMMB 499	0.628956302375399	0.572467602808209	0.935011446259259	0.612257320590571	0.540367522426168	NA	1.10343157894737e-06	3.13939285714286e-07
21	Polaribacter sp. MED152	2.66959939503257	0.544140849266473	0.616286499147292	0.882934885024026	0.377271453964656	0.677431681696671	1.82168684210526e-06	1.46266428571429e-06
22	Chitinibacter fontanus	0.0941854966517001	-0.31922909126225	1.86784585910071	-0.170907620512083	0.864296404525319	NA	1.85771052631579e-07	2.65714285714286e-08
23	Candidatus Methylopumilus universalis	1.09620208886937	-1.06052182590597	0.790614253098852	-1.34138971280774	0.179793955812122	NA	1.70971578947368e-06	3.63671428571429e-07
24	Candidatus Kinetoplastibacterium sorsogonicusi	1.04995015526053	-0.20675155169622	0.623751487229893	-0.331464623217834	0.740293558627319	NA	1.34886842105263e-06	2.97716428571429e-06
25	Xanthomonas citri	1.22877323234198	0.21356466159438	0.654256528554434	0.326423432206701	0.744104011255949	NA	1.66492894736842e-06	7.23232142857143e-07
26	Xanthomonas oryzae	0.957608625136469	0.190583908371933	0.849730035680258	0.22428759767137	0.822533526025459	NA	1.26328421052632e-06	8.25464285714286e-07
27	Pedobacter sp. eg	1.31047046545536	0.504397190160704	0.609138581792415	0.828049979491521	0.407642195737141	0.696102255531857	1.76845263157895e-06	9.36964642857143e-07
28	Campylobacter insulaenigrae	2.34462735542298	0.844653003415062	0.529881655280866	1.59404084855014	0.110926886044196	0.384088859495052	4.3497e-06	2.07413214285714e-06
