	Gene.symbol	baseMean	logFC	lfcSE	stat	pvalue	adj.P.Val	abundance.1	abundance.2
1	Streptococcus sp. oral taxon 431	302.755015042402	0.293366222681806	0.486202179682681	0.603383191069342	0.546253801695656	0.824616501669597	0.000279534894736842	0.00314037536538462
2	Entomoplasma freundtii	0.289741915794967	-0.791936270659426	1.01293773904535	-0.781821271074164	0.43431961837771	NA	3.48347368421053e-07	2.34609615384615e-07
3	Vibrio owensii	0.799748225648051	-0.648761674077922	0.7013049557471	-0.925077840618989	0.354925418721671	NA	1.49638157894737e-06	4.53769230769231e-07
4	Thermosipho melanesiensis	1.64879153674061	0.181986810968986	0.51250324135264	0.35509397070089	0.722519193397815	0.903387308456189	2.79363684210526e-06	4.09792307692308e-06
5	Halothece sp. PCC 7418	0.874830750743935	0.1358017147588	0.568742754777849	0.238775287452838	0.811279833779361	NA	1.67625789473684e-06	1.42320192307692e-06
6	Thermosulfuriphilus ammonigenes	0.234239757301393	0.05778167518437	2.19288942842135	0.0263495616493381	0.978978524137223	NA	2.73157894736842e-08	6.25e-08
7	Epilithonimonas vandammei	78.8486582292711	-0.604368451066836	0.649415860461475	-0.930633955624939	0.352042943696846	0.699095393638224	0.000220627636842105	0.000143563361538462
8	Candidatus Pseudomonas adelgestsugas	0.647661286740834	-0.327476771633012	0.687801591914759	-0.476120985299488	0.633988187322543	NA	9.55423684210526e-07	1.32775961538462e-06
9	Bacillus velezensis	46.2160786131565	0.307698364319196	0.713418464499276	0.431301374481748	0.666249251082104	0.876187166136621	0.000181922236842105	0.000895202576923077
10	Actinoplanes missouriensis	0.497930334429848	0.340218673362287	0.848199129449995	0.401107076805063	0.688341290802118	NA	7.58678947368421e-07	6.36434615384615e-07
11	Acinetobacter sp. WCHAc010052	0.341315841331404	0.0557117137195822	0.801096170894237	0.0695443515319678	0.94455633066872	NA	3.71976315789474e-07	7.32144230769231e-07
12	Acinetobacter sp. WCHA55	0.659030502889927	0.847532520032826	0.725241009130423	1.16862189170609	0.242556004116104	NA	2.05914473684211e-06	3.76305769230769e-07
13	Mycobacterium sp. MS1601	1.80671097141085	-0.843815358746443	0.814514673832045	-1.03597318238178	0.300214653833702	0.650679829124548	2.04392631578947e-06	2.35478461538462e-06
14	Coprothermobacter proteolyticus	0.106019909415427	0.576679762460112	1.82556220256916	0.31589159857086	0.752084789036932	NA	2.28073684210526e-07	5.13461538461538e-08
15	Arcanobacterium phocae	0.487331921274946	-1.52758178998896	1.16660277457856	-1.30942753032695	0.190389570997149	NA	8.40394736842105e-07	7.11848076923077e-07
16	Sinorhizobium sp. CCBAU 05631	0.403664450706359	-0.704255477192205	1.18588070710906	-0.593867050007955	0.552601038852087	NA	1.14781578947368e-06	1.02363461538462e-06
17	endosymbiont of Euscepes postfasciatus	0.462849465525386	-0.853705381729539	0.94877506404689	-0.899797448394309	0.368228052507663	NA	2.98376315789474e-07	5.86980769230769e-07
18	Rickettsia africae	0.0177273798542452	0.291602620399177	2.95159807809313	0.0987948266274673	0.921301176152469	NA	1.10263157894737e-09	8.42307692307692e-09
19	Rickettsia helvetica	0.148017635237672	-0.295572485336847	1.0788815535026	-0.273961941769482	0.784113869132191	NA	7.68697368421053e-07	8.68346153846154e-08
20	Actinomadura sp. WMMB 499	0.447296151486536	-0.100095901145376	0.936236690697105	-0.106913029728462	0.914857976212548	NA	1.10343157894737e-06	8.92730769230769e-07
21	Polaribacter sp. MED152	1.5491817231091	0.133767095909444	0.507712802313054	0.263470007650041	0.792188337556981	0.927255019829636	1.82168684210526e-06	2.92226153846154e-06
22	Chitinibacter fontanus	0.123706956074148	0.0845411191749237	1.36022283241183	0.0621524041211854	0.950441465174015	NA	1.85771052631579e-07	1.04889807692308e-06
23	Candidatus Methylopumilus universalis	0.873245185153139	-1.4563969159605	0.584677527174905	-2.49094047277248	0.0127405463607381	NA	1.70971578947368e-06	6.0625e-07
24	Candidatus Kinetoplastibacterium sorsogonicusi	1.00387474554579	-0.145334975277663	0.510464964292667	-0.284710970279907	0.775865585283949	NA	1.34886842105263e-06	1.38628269230769e-06
25	Xanthomonas citri	0.947347963710255	-0.449056240995476	0.645283852007224	-0.695904972050113	0.486488343343084	NA	1.66492894736842e-06	1.65478846153846e-06
26	Xanthomonas oryzae	0.974659741402167	0.293735430645031	0.732913008932511	0.400778028313151	0.688583556805514	NA	1.26328421052632e-06	1.416375e-06
27	Pedobacter sp. eg	1.1480736094908	0.168535721246853	0.48841382125993	0.345067469245838	0.730043648901852	NA	1.76845263157895e-06	1.72928269230769e-06
28	Campylobacter insulaenigrae	1.7370525542858	0.153563122355866	0.453933011532313	0.338294678850285	0.735141133253858	0.907692597293884	4.3497e-06	2.28737115384615e-06
29	Xanthomonas translucens	1.55612245551671	-1.48034760642267	0.824806185493092	-1.7947823773141	0.0726883796268954	0.349596492491259	2.6442e-06	1.13421153846154e-06
30	Arsenophonus endosymbiont of Aphis craccivora	1.02934394970594	0.148944153190263	0.679518718624872	0.219190655250349	0.826501534529907	NA	1.54913157894737e-06	2.15944038461538e-06
31	Maridesulfovibrio hydrothermalis	0.846071134702356	-0.0476841146679424	0.660566653217891	-0.0721866815947392	0.942453344069214	NA	1.04982631578947e-06	5.21651923076923e-07
32	Iodobacter sp. H11R3	0.356977318834922	0.0814974187046701	0.652944416071299	0.12481524720746	0.900669816263986	NA	7.073e-07	5.10173076923077e-07
33	Jeotgalibaca ciconiae	16.8310764559575	-0.619466904223116	0.515426218633628	-1.20185369278516	0.22942021839262	0.580664801884786	2.13824263157895e-05	4.18024596153846e-05
34	Pseudomonas sp. ACM7	0.56550534337187	0.258055765879674	0.773382435870744	0.333671614340622	0.738627371606222	NA	1.38472105263158e-06	1.54789807692308e-06
35	Monaibacterium sp. ALG8	0.262390231624602	0.358871686154699	1.36214235107203	0.263461220387326	0.792195109613679	NA	4.67131578947368e-07	4.18288461538462e-07
36	Microvirgula aerodenitrificans	0.789993525989455	-0.580738352815321	0.750018736959955	-0.774298459754783	0.438754314314501	NA	3.19680789473684e-06	1.50997884615385e-06
37	Pseudomonas asturiensis	0.316975741623742	0.242995582013534	1.03206306783551	0.235446446623805	0.81386223991224	NA	2.22160526315789e-07	6.00134615384615e-07
38	Streptomyces sp. M56	3.18842415209098	0.600200526115008	0.715485379235838	0.838871825383827	0.401541239748661	0.744916264076746	5.46536842105263e-06	9.66821153846154e-06
39	Erythrobacter sp. HL-111	0.447927708523388	-1.66782537986689	1.14687533343377	-1.45423424085108	0.145881374865937	NA	7.87115789473684e-07	1.17703846153846e-06
40	Gordonia sp. KTR9	0.151623669912086	-0.544627045966065	1.32775376875543	-0.410186782204783	0.681668936216552	NA	3.62621052631579e-07	7.65e-08
41	Sulfitobacter pseudonitzschiae	0.705448805961547	-0.189935821205177	1.11109822012986	-0.170944222359549	0.864267623983476	NA	1.30736842105263e-06	4.80711538461538e-07
42	Tamlana carrageenivorans	1.39687467861999	-0.543221182417089	0.436658905850301	-1.24404008515361	0.213484810293456	0.567601033338478	3.51705263157895e-06	1.53901538461538e-06
43	Paenibacillus sp. FSL P4-0081	0.280861969233725	0.0219983811507238	1.07233938667113	0.0205143832485848	0.983633038318087	NA	3.52360526315789e-07	2.88540384615385e-07
44	Dokdonia sp. MED134	0.264778554929954	-0.344586311044445	0.962068264146765	-0.358172412380789	0.720214291287996	NA	4.01042105263158e-07	6.03711538461538e-07
45	Basilea psittacipulmonis	0.239737889809488	-0.191253840159738	0.985164545006013	-0.194133904969724	0.846071034286853	NA	2.54363157894737e-07	8.60769230769231e-08
46	Streptomyces sp. CFMR 7	0.308913444425809	-0.24139045619819	1.54172588093546	-0.15657157941185	0.875582502588248	NA	1.40968421052632e-06	2.93246153846154e-07
47	Acinetobacter sp. WCHA45	2.06997075100753	-0.789114511746165	0.470394952047225	-1.67755735539216	0.0934335437421613	0.394278970134863	3.74524210526316e-06	2.19831538461538e-06
48	Streptomyces sp. fd1-xmd	0.265754358183356	0.603703675924522	1.09999640137617	0.548823319030178	0.583126705620449	NA	3.67442105263158e-07	3.67807692307692e-07
49	Paenalcaligenes hominis	0.262094528725	-0.749178392526179	0.936647214258242	-0.799851193834463	0.423797018076764	NA	3.31065789473684e-07	2.48807692307692e-07
50	Streptosporangium sp. 'caverna'	0.231238411987948	-0.16030737465141	0.815386910219963	-0.196602830683368	0.844138355282113	NA	3.18689473684211e-07	1.07607884615385e-06
51	Neobacillus cucumis	4.42595705007307	-1.04438087259894	0.514077865601198	-2.03156164169327	0.0421980532462498	0.262068691987363	4.87195789473684e-06	3.44948076923077e-06
52	Pseudomonas palleroniana	0.496075900868011	1.22664659396884	0.868863985789551	1.41178206719452	0.158014140261539	NA	4.33489473684211e-07	9.31173076923077e-07
53	Planctomyces sp. SH-PL62	0.453960550249573	-0.142917240565319	0.993472711438905	-0.143856231700943	0.885613998143032	NA	3.72992105263158e-07	7.90288461538462e-07
54	Candidatus Planktophila versatilis	0.396479959348547	0.287531691321443	1.0648678493411	0.270016313760772	0.787147703042294	NA	4.24286842105263e-07	6.32615384615385e-07
55	Serratia plymuthica	4.24661711831451	2.40687910915757	0.739123458851566	3.25639658751641	0.00112836025095587	0.0250471176585808	5.31716052631579e-06	2.33963461538462e-05
56	Wenzhouxiangella sp. AB-CW3	0.388374825393057	0.937942278582132	0.96276616173163	0.974216082641656	0.329949260929181	NA	1.73513157894737e-07	8.04192307692308e-07
57	Nocardioides daphniae	1.05385191722726	0.48195336814818	0.848414919120612	0.568063287533567	0.569991995151303	NA	8.77789473684211e-07	1.08282692307692e-06
58	Tolypothrix sp. PCC 7910	1.43686998899365	0.947827478238662	0.492190166675355	1.92573428404928	0.0541375607185036	0.300433716075213	3.80472631578947e-06	3.42209615384615e-06
59	Gynuella sunshinyii	0.429034851182869	-0.386385892749244	0.940744557462792	-0.410723495218867	0.681275296740831	NA	9.80128947368421e-07	1.11605769230769e-07
60	Actinomyces sp. oral taxon 897	2.06219773323573	-0.0663922524229325	0.691686413133577	-0.0959860583673355	0.923531645243935	0.971399170072391	3.74359473684211e-06	1.94111538461538e-06
61	Pelagibaca abyssi	0.414214299399886	0.299715130511401	0.975370904184031	0.30728323884352	0.758627792414854	NA	3.28913157894737e-07	6.48175e-07
62	Photorhabdus thracensis	1.33735600882226	-1.18586821104592	0.578609779898028	-2.04951290532094	0.040411987214421	0.259975204373027	2.19447368421053e-06	2.21761538461538e-06
63	Ktedonosporobacter rubrisoli	0.261335906583005	-0.151553013339011	0.838050167868501	-0.180840025036295	0.856493145584135	NA	2.87268421052632e-07	6.16336538461538e-07
64	Pseudomonas fragi	4.33913336576277	0.426664381478552	0.71335649759383	0.598108215061757	0.549767729124467	0.824731092598284	4.82229736842105e-06	8.84449615384615e-06
65	Pseudomonas fluorescens	26.0853466880931	0.356997675709531	0.433934302654934	0.822699826967624	0.410678713758908	0.747973464287827	4.24696315789474e-05	0.000152871901923077
