	Gene.symbol	baseMean	logFC	lfcSE	stat	pvalue	adj.P.Val	abundance.1	abundance.2
1	'processing and CCA adding factors	98.2068262956016	-0.382833031854313	0.197332087648115	-1.94004450273179	0.0523742816823376	0.719534524047068	0.00055977078991313	0.000445630501203204
2	'processing factors	52.3501311078199	0.0537531627374371	0.219141988064814	0.245289199081004	0.80623251423091	0.997884009435921	0.000272893999574416	0.000286425798497525
3	AAA proteases	22.2470670958176	-0.659120800599271	0.444790155542125	-1.48186912949077	0.138375120537177	0.868854832828922	0.00014022251556262	8.62005596718582e-05
4	AauS-AauR (acidic amino acids utilization)	0.422977470195326	-1.3120791197368	1.80264739008803	-0.727862324574039	0.466697868070742	0.969168082951171	1.03603288696771e-05	2.45974203102579e-05
5	ABC transporters	1646.42794788053	-0.0378248110562409	0.0399394584633341	-0.947053678531108	0.34361142687401	0.913726283745643	0.00899158482405969	0.00861111973501586
6	ABC-2 type and other transporters	308.849895674876	0.0276232353403826	0.0831961179205941	0.332025532330094	0.739869979592538	0.997884009435921	0.00164990000501968	0.00167309352230102
7	ABC1 family	0.232543100615337	-0.317789961051615	1.62112021792065	-0.196031088588379	0.844585832875919	0.997884009435921	1.4676930823053e-06	1.89170095111443e-06
8	ABCA (ABC1) subfamily	0.537244395507795	-0.710815316244962	1.68571698469801	-0.421669427725617	0.673266322450028	0.997884009435921	3.65770383455421e-06	2.25563832926372e-06
9	ABCB (MDR/TAP) subfamily	80.0115560844965	-0.0140677158675227	0.186470394774739	-0.0754420876542727	0.939862973496213	0.997884009435921	0.00044781223292482	0.000421896798657709
10	ABCC (CFTR/MRP) subfamily	10.3200556349274	-0.610121347041096	0.38668998955808	-1.57780486569709	0.114610445681375	0.834046312631785	6.34536035239417e-05	4.37707127115856e-05
11	ABCD (ALD) subfamily	2.51222996095984	0.976829906328245	1.36184330150094	0.717285098257372	0.473198200149311	0.969168082951171	1.03842681377472e-05	2.0392980035747e-05
12	ABCG (White) subfamily	0.968093927070475	0.647573385150793	1.32266748815046	0.489596509290723	0.624419447062683	0.997884009435921	4.806144800359e-06	7.25968806580665e-06
13	ABO blood group	1.5118458984653	-1.21252086222283	1.2683343732079	-0.955994639770023	0.339074942595542	0.913726283745643	1.26676471581264e-05	3.39999122270277e-06
14	Acarbose and validamycin biosynthesis	36.5511325332429	-0.568022107834523	0.253660184935207	-2.2393033734467	0.025136183538355	0.6196964073207	0.000213253617665943	0.000146270672957806
15	Accessory factors involved in transport	66.3667660319793	-0.143594605138312	0.198875905659783	-0.722031181514565	0.470275306865897	0.969168082951171	0.000357267269156821	0.000337236426125794
16	ACHE	0	NA	NA	NA	NA	NA	0	0
17	ACP1	0.499845501845102	-1.58655111387805	1.66905556601919	-0.950568181299131	0.34182362732594	0.913726283745643	4.02347068711e-06	3.33537462799007e-07
18	actI1, oxyA, tcmK, snoa1, aknB, mtmP	0.0362709183342331	0.462742248689246	3.05076041907931	0.151680953310945	0.87943858039148	0.997884009435921	0	5.11445995141812e-07
19	actI2, oxyB, tcmL, snoa2, aknC, mtmK	0.178996085621068	0.165314588766535	3.05174856891137	0.0541704485260089	0.956799364762494	0.997884009435921	8.68725865757591e-07	2.97470312462816e-06
20	actI3, oxyC, tcmM, snoa3, aknD, mtmS	0.667873421073268	-1.14261350082958	1.71457141962329	-0.666413476716313	0.505146850794378	0.986364775727709	5.21101438423705e-06	1.69478714765382e-06
21	actIII, oxyJ, snoaD, aknA	0.211375941082076	-0.664529283255604	2.18281247717382	-0.30443718377311	0.760794842763586	0.997884009435921	1.31703263986863e-06	1.21703324634985e-06
22	Actin filaments / Microfilaments	168.286082604733	-0.0326580372429178	0.164909183634838	-0.198036498168794	0.843016507786116	0.997884009435921	0.000894644386987369	0.000902225641473321
23	Actin homologs	40.8452719165045	-0.152343427020567	0.156273312897695	-0.974852482460005	0.329633439447172	0.913726283745643	0.000222846286875877	0.000199575398833381
24	Actin-binding proteins	106.908433924782	-0.445950785713758	0.14513604870742	-3.07263970381854	0.00212174492064058	0.311896503334166	0.000628216530988509	0.000453342880123363
25	Acting on a heme group of donors	0.0634902449397052	-0.722668338617369	3.05200801764942	-0.236784547890523	0.81282393970817	0.997884009435921	4.63298058760601e-07	0
26	Acting on a peroxide as acceptor	167.151699761705	0.378963537610342	0.15511788888374	2.44306791652104	0.0145629963976314	0.6196964073207	0.000812098707562733	0.00107431502346868
27	Acting on a sulfur group of donors	404.368223152966	-0.436241194491036	0.127218529127932	-3.42906962909741	0.000605654126927479	0.253231442746364	0.00233991933497922	0.00175457582762232
28	Acting on acid anhydrides	1264.76701459741	0.0306906487210453	0.0647937961000661	0.473666470685672	0.635737766790238	0.997884009435921	0.00673268695938532	0.00683320660158322
29	Acting on carbon-carbon bonds	6.0754943641453	-0.256695060589051	0.756240286689123	-0.339435844806524	0.734281419444682	0.997884009435921	3.4236087075256e-05	3.3144419086195e-05
30	Acting on carbon-nitrogen bonds, other than peptide bonds	1126.97148935651	-0.152406114483941	0.0776980130715073	-1.96151881443452	0.0498185324332672	0.717972967420616	0.00620700590358285	0.0056105575846421
31	Acting on carbon-phosphorus bonds	2.28730378663504	0.344846273760428	0.932873379671841	0.369660321834605	0.711635599358464	0.997884009435921	1.13368909327856e-05	1.60290690660728e-05
32	Acting on carbon-sulfur bonds	2.04429687954488	-1.2014307896146	1.06805059459657	-1.12488190699281	0.260639079898331	0.888827981230172	1.56543808951834e-05	5.59967353794434e-06
33	Acting on CH or CH2 groups	227.649583649312	-0.0163045864891789	0.0885853546898037	-0.184055101955307	0.853970228117509	0.997884009435921	0.0012107355318912	0.00121215630669591
34	Acting on diphenols and related substances as donors	11.0261449467693	-0.555343851363134	0.484205621996341	-1.14691739652567	0.251415762067262	0.880701773611899	7.04907171664636e-05	4.58551335744084e-05
35	Acting on ester bonds	2462.46410745028	0.0240586515610661	0.0591439057615213	0.406781582164607	0.684168415111458	0.997884009435921	0.0130908025445584	0.0133093990135084
36	Acting on ether bonds	61.6022740525355	0.675376681946507	0.248603533495256	2.71668174804681	0.00659399798769786	0.6196964073207	0.00028119902464798	0.000439749797239155
37	Acting on halide bonds	22.986071572776	-0.538959063778196	0.222056666524658	-2.42712399592988	0.0152190533382413	0.6196964073207	0.000141744084487644	8.94349473812539e-05
38	Acting on hydrogen as donor	80.0033280694774	0.167936886854157	0.212752076159376	0.789354867344997	0.429904626673928	0.965233607322799	0.000416381745435263	0.000468817766308263
39	Acting on iron-sulfur proteins as donors	59.4390638093512	-0.168167635786931	0.132436211954011	-1.26980101065808	0.204155520637851	0.878931422955043	0.000331976015804302	0.000283575905259399
40	Acting on NADH or NADPH	156.006426936666	0.0580320735808679	0.158630969970442	0.36583066718738	0.714491434654122	0.997884009435921	0.000816718036468767	0.000855266982124667
41	Acting on other nitrogenous compounds as donors	142.254549657763	-0.182997595634009	0.165013340940714	-1.10898667096109	0.267435932103343	0.888827981230172	0.000768229493553845	0.000716490972251955
42	Acting on paired donors, with incorporation or reduction of molecular oxygen	640.605436349575	0.0638680409117689	0.069879648930286	0.913971977384796	0.36073157053251	0.928678474050421	0.00347221052641516	0.00349830506060783
43	Acting on peptide bonds (peptidases)	1423.2455067756	-0.0168260093857437	0.0609249115738663	-0.276176180663694	0.782412751111032	0.997884009435921	0.00764430963950719	0.00755132342223774
44	Acting on phosphorus or arsenic in donors	70.7873701799514	0.0802614598225976	0.225868086024245	0.355346615076829	0.722329937361462	0.997884009435921	0.000364138642426108	0.000387828433608645
45	Acting on phosphorus-nitrogen bonds	0.118723799386918	-0.565991337238004	2.94496351050542	-0.192189592576944	0.847593697863179	0.997884009435921	9.45984248888122e-07	2.72734903829662e-07
46	Acting on reduced flavodoxin as donor	6.77779109265958	-0.0994111910872639	0.277226636823975	-0.358591772515659	0.719900502584667	0.997884009435921	3.60474312335072e-05	3.48248763559595e-05
47	Acting on single donors with incorporation of molecular oxygen (oxygenases)	211.008240672414	-0.0337690941953131	0.132063329021759	-0.255703793365296	0.798179565846374	0.997884009435921	0.00112622518634913	0.00112483695540214
48	Acting on sulfur-nitrogen bonds	0	NA	NA	NA	NA	NA	0	0
49	Acting on superoxide as acceptor	7.50221027282023	-0.130496004538716	0.598498806263028	-0.21803887187933	0.827398824579422	0.997884009435921	4.30280408275568e-05	3.60163391461955e-05
50	Acting on the aldehyde or oxo group of donors	617.77682644511	0.00894071245163885	0.105077806552143	0.085086591974131	0.932192549703715	0.997884009435921	0.00325235106345342	0.00328296342384664
51	Acting on the CH-CH group of donors	706.37956113413	-0.0876302189357622	0.0877933435280665	-0.998141948059511	0.31821053158023	0.911275941391217	0.00379234155723797	0.00368275124733469
52	Acting on the CH-NH group of donors	493.155545754479	0.16216698402733	0.0730534917106458	2.21983891844143	0.0264297040318509	0.6196964073207	0.0025650673059011	0.00283865172143375
53	Acting on the CH-NH2 group of donors	310.877430136678	0.320043256580236	0.146049028129194	2.1913412275303	0.0284271087331591	0.6196964073207	0.00157411375852787	0.00190530337048986
54	Acting on the CH-OH group of donors	1755.19742050928	0.105258074912933	0.0647124492788664	1.62655062643886	0.10383257277088	0.807586677106845	0.00924674427982978	0.00978658408584654
55	Acute myeloid leukemia	13.5972590172401	-0.247233257873323	0.37728167702732	-0.655301523841086	0.512273639892795	0.989543036323795	7.71327491515494e-05	7.07708834721892e-05
56	Acyltransferases	1965.6968747401	0.0421782803133969	0.110901746342373	0.380321155477438	0.70370703349935	0.997884009435921	0.0104450461270046	0.010838412328998
57	Adenylate cyclase	2.36668980973823	0.255871319847343	0.839084212019433	0.304941168219022	0.760410960347695	0.997884009435921	1.27739635110137e-05	1.22667167825215e-05
58	AdeS-AdeR	1.51657428130678	-1.30851468647661	1.3193591027715	-0.991780542331413	0.321304591350367	0.911810326805096	1.27376229733854e-05	3.35948536319151e-06
59	Adherens junction	30.8421648591832	-0.279958376262181	0.193985665602556	-1.44319104915602	0.148966660275998	0.871124186604119	0.000176296406736421	0.000145181927530159
60	Adhesin protein transporter	6.49457378426988	0.220854723961601	0.273458966828719	0.807633871080677	0.419301382192321	0.965233607322799	3.57184759502758e-05	3.39890192882174e-05
61	Adipocytokine signaling pathway	84.744026507181	-0.13393878407689	0.130464720925368	-1.02662837222877	0.304595488885897	0.899428937766221	0.000464679205049624	0.000427185569035834
62	ADP-ribosyltransferase	28.3595591137038	-0.114647540980964	0.436285716210546	-0.262780872077959	0.792719479420496	0.997884009435921	0.000146836026168542	0.000146412115902633
63	Adrenergic signaling in cardiomyocytes	94.5981657561598	0.0925405244926184	0.120854000291315	0.765721649838251	0.443841942248228	0.969168082951171	0.000497683826602035	0.000524365284509443
64	Aflatoxin biosynthesis	13.7039460292713	0.314345111647251	0.396734527233746	0.792331118340114	0.428167631615068	0.965233607322799	6.91657671033546e-05	8.72497568114676e-05
65	African trypanosomiasis	5.38379031893618	-0.0886044427757648	0.745339927940358	-0.118877896452711	0.905372093641623	0.997884009435921	3.06089092090703e-05	2.75579472535945e-05
66	AGE-RAGE signaling pathway in diabetic complications	64.5890900308587	0.695270701739442	0.311469798373919	2.2322250997343	0.025600089315462	0.6196964073207	0.000303716081784058	0.000459263122633705
67	Aggrephagy	6.42167082287801	-0.314248140451292	0.514841190555677	-0.610378785178626	0.541610918134653	0.997704322879624	3.91708603446217e-05	2.86631073814891e-05
68	AgrC-AgrA (exoprotein synthesis)	6.86125690908764	0.261202957025379	0.819773032669734	0.318628384462375	0.750008326764409	0.997884009435921	3.59612353018186e-05	4.07938429008277e-05
69	AKT/PKB family	1.18831062524295	-1.37754994922174	1.63256114323869	-0.843796849463746	0.398782936343743	0.960337490847489	7.41124027737325e-06	6.28597036935182e-06
70	Alanine, aspartate and glutamate metabolism	379.069488469362	0.0651612369927255	0.08956838035663	0.727502682679716	0.466918072542139	0.969168082951171	0.00197384590894331	0.00209169597921286
71	Alcoholism	115.013536217968	-0.0113888349478183	0.0933770845618868	-0.12196605838845	0.902925899022091	0.997884009435921	0.000634444684798274	0.000601067191691084
72	Aldosterone synthesis and secretion	96.2464296452705	0.178693052272154	0.142912144168202	1.25036996199454	0.211164432141516	0.878931422955043	0.000488036501508662	0.000557027154172899
73	Aldosterone-regulated sodium reabsorption	19.9119187747224	0.391316533422908	0.354633697348218	1.1034386645967	0.269836713702582	0.888827981230172	9.88419075520418e-05	0.000127176981769629
74	AlgE-type Mannuronan C-5-Epimerase transporter	153.403857261433	-0.2598956060519	0.205969354118218	-1.26181687156591	0.2070146897705	0.878931422955043	0.000842568761122424	0.000705061344039543
75	AlgZ-AlgR (alginate production)	5.57507028554001	0.498383293732431	0.798891870425227	0.623843241097392	0.53273053868117	0.991466538623652	2.88771267538616e-05	3.67742776994903e-05
76	Alpha Subunits	2.98031013599952	-1.03395342808	1.0607193417308	-0.974766262292225	0.329676215828253	0.913726283745643	2.36244158586811e-05	5.82772272261937e-06
77	alpha-Hemolysin/cyclolysin transporter	153.696490322449	-0.262124195010813	0.203451737387543	-1.28838513928002	0.197611929163526	0.878931422955043	0.000845021014471767	0.000705545450411687
78	alpha-Linolenic acid metabolism	48.9823947152779	0.459635999506128	0.33083298774707	1.38932940948903	0.164732604862731	0.878931422955043	0.000242838963230914	0.000312125922515122
79	ALS	11.3244492191309	0.568241344005298	0.531390553956371	1.06934784552447	0.284912958822571	0.888827981230172	4.50431444600948e-05	8.57152671391816e-05
80	Alzheimer disease	560.434226416126	-0.120070503632165	0.100240468694094	-1.19782464304498	0.23098529141402	0.878931422955043	0.00307593923598106	0.00281899075282038
81	Amidase	18.2767500206658	0.74358871527954	0.473822128056721	1.56934147066792	0.116568394084435	0.838202033201985	8.30797660216648e-05	0.00013091601773365
82	Amino acid ligase	80.3337896440269	-0.116993327248371	0.135214663255033	-0.865241420064818	0.38690629574255	0.955886142422769	0.000441264670112045	0.000413070422750836
83	Amino acid metabolism	43.2343661082752	-0.0311666182005348	0.267769632510925	-0.116393400955439	0.907340765123403	0.997884009435921	0.000241666805813016	0.000237202184748208
84	Amino acid related enzymes	746.581456515304	0.0670620224623831	0.0797044430243672	0.841383741203497	0.400132990928977	0.960337490847489	0.0039204540305331	0.00411000751783588
85	Amino sugar and nucleotide sugar metabolism	767.639169437093	-0.0720573142082418	0.0662022656117552	-1.08844181603729	0.27640010942394	0.888827981230172	0.00416040698085372	0.00399185436658773
86	Aminoacyl-tRNA biosynthesis	442.137027183195	-0.0299368411458351	0.123024459566695	-0.243340562122978	0.807741584507636	0.997884009435921	0.00232989386986407	0.00233167119949714
87	Aminoacyl-tRNA synthetases (AARSs)	640.404788996032	-0.00491869278867112	0.107432000151999	-0.0457842428858439	0.963482217995701	0.997884009435921	0.00337484645135939	0.0034233180079244
88	Aminobenzoate degradation	129.898667152157	-0.0850592684222868	0.121760473371949	-0.698578660764988	0.484815383399017	0.976272073419939	0.000730485348111078	0.000667077146544708
