	Gene.symbol	baseMean	logFC	lfcSE	stat	pvalue	adj.P.Val	abundance.1	abundance.2
1	'processing and CCA adding factors	82.601824984813	-0.0826362689340285	0.206002074705357	-0.401142896508312	0.688314920033907	0.991345121261639	0.000454782938391275	0.000445630501203204
2	'processing factors	50.4427422324061	0.0472151752604879	0.215875694561712	0.218714642036696	0.826872342423256	0.991345121261639	0.000263963738865363	0.000286425798497525
3	AAA proteases	15.4666742022613	0.141958649923358	0.431536245833208	0.328961127353891	0.742185070125345	0.991345121261639	8.98380022498617e-05	8.62005596718582e-05
4	AauS-AauR (acidic amino acids utilization)	3.72448796851642	0.408932056917871	1.69142593190436	0.241767640666038	0.808960214164168	0.991345121261639	1.80644400854162e-05	2.45974203102579e-05
5	ABC transporters	1583.03858083156	-0.00229730783992839	0.0473626114098095	-0.0485046700666632	0.961314042649529	0.995695577372623	0.00889171875157102	0.00861111973501586
6	ABC-2 type and other transporters	305.271255935984	0.0203304704896909	0.0803235837683433	0.25310711419855	0.800185441503688	0.991345121261639	0.00170647200275042	0.00167309352230102
7	ABC1 family	0.235922381813401	-0.314329665812734	1.61324990982313	-0.194842512557273	0.845516239830782	0.991345121261639	1.57791887349476e-06	1.89170095111443e-06
8	ABCA (ABC1) subfamily	1.15750233109125	-1.811700512465	1.79337767235123	-1.01021694448206	0.312391362852043	0.991345121261639	1.10121613367198e-05	2.25563832926372e-06
9	ABCB (MDR/TAP) subfamily	70.1939919421744	0.240555517275482	0.183223859907372	1.31290497535143	0.189214970163085	0.991345121261639	0.00037091433219811	0.000421896798657709
10	ABCC (CFTR/MRP) subfamily	8.50673383075266	-0.281717980164448	0.404917298054708	-0.695742023168357	0.48659040325572	0.991345121261639	5.11248905618963e-05	4.37707127115856e-05
11	ABCD (ALD) subfamily	1.93871567451694	1.77722696821094	1.31755960298274	1.3488778528027	0.177376202981374	0.991345121261639	4.34609892744423e-06	2.0392980035747e-05
12	ABCG (White) subfamily	0.941987822329327	0.499905329826324	1.59687568461512	0.31305212712711	0.754241059284372	0.991345121261639	4.38999527228975e-06	7.25968806580665e-06
13	ABO blood group	1.00708431251655	-1.16234120390195	1.5429494934578	-0.753324207195599	0.451255115679963	0.991345121261639	8.65577173222414e-06	3.39999122270277e-06
14	Acarbose and validamycin biosynthesis	31.9645876825915	-0.39775080188272	0.263389553129914	-1.51012368241702	0.131011867589371	0.991345121261639	0.00019091323199998	0.000146270672957806
15	Accessory factors involved in transport	62.8923936891693	-0.0822681762283215	0.196066859487284	-0.419592461691146	0.674783196233019	0.991345121261639	0.000343872263468817	0.000337236426125794
16	ACHE	0	NA	NA	NA	NA	NA	0	0
17	ACP1	0.151809883052009	-0.930145903177985	1.68148519643317	-0.553169248918187	0.580147521744118	0.991345121261639	1.22010335412578e-06	3.33537462799007e-07
18	actI1, oxyA, tcmK, snoa1, aknB, mtmP	0.198196186727868	-0.293839280096183	2.94812634387657	-0.0996698396954743	0.920606445716156	0.991345121261639	1.46194769443539e-06	5.11445995141812e-07
19	actI2, oxyB, tcmL, snoa2, aknC, mtmK	0.209454014225873	-0.342133302567497	2.94954798730475	-0.11599516401838	0.907656374479068	0.991345121261639	0	2.97470312462816e-06
20	actI3, oxyC, tcmM, snoa3, aknD, mtmS	0.445620799898242	-1.20385175350311	2.10239523518762	-0.572609627987327	0.566909039258497	0.991345121261639	3.48448383245834e-06	1.69478714765382e-06
21	actIII, oxyJ, snoaD, aknA	0.160286390489703	-0.862153224096598	2.94923015803845	-0.292331618048427	0.770033086388631	0.991345121261639	8.58499276300676e-07	1.21703324634985e-06
22	Actin filaments / Microfilaments	156.985881681814	0.0490866878081285	0.147737450713409	0.332256225967714	0.739695790673853	0.991345121261639	0.000845194631119746	0.000902225641473321
23	Actin homologs	36.5432966942449	-0.013351343215324	0.177002789713487	-0.0754301287394156	0.939872488218919	0.991345121261639	0.000195459124372429	0.000199575398833381
24	Actin-binding proteins	91.4701558253539	-0.254201309878532	0.168215948870443	-1.51116057416359	0.130747544627283	0.991345121261639	0.000534767655063461	0.000453342880123363
25	Acting on a heme group of donors	0.0803265800268517	-1.25895514931275	2.94973740187541	-0.426802449774788	0.669523222018511	0.991345121261639	6.76251262973165e-07	0
26	Acting on a peroxide as acceptor	167.545054379432	0.40093789035373	0.144188044288947	2.78065974423141	0.00542485625930863	0.935550208895648	0.000832959597617725	0.00107431502346868
27	Acting on a sulfur group of donors	364.327491415297	-0.31422712165285	0.131662650571233	-2.38660789745262	0.017004616699875	0.935550208895648	0.00214542561925716	0.00175457582762232
28	Acting on acid anhydrides	1225.52731839882	0.0526205322783542	0.0727796150061892	0.723011962537578	0.469672534794818	0.991345121261639	0.00667244229859382	0.00683320660158322
29	Acting on carbon-carbon bonds	4.86699668532542	0.212048301171317	0.755279144274271	0.280754874245957	0.778898417123876	0.991345121261639	2.40280931518782e-05	3.3144419086195e-05
30	Acting on carbon-nitrogen bonds, other than peptide bonds	1086.35056243596	-0.139475135745782	0.0775850283322013	-1.79770683524895	0.0722234776787971	0.958587553947564	0.00623384895927589	0.0056105575846421
31	Acting on carbon-phosphorus bonds	1.76234042162129	0.935296563020756	0.975068229039437	0.959211401998134	0.3374522576141	0.991345121261639	5.70708109388795e-06	1.60290690660728e-05
32	Acting on carbon-sulfur bonds	1.38037517811999	-1.24192408116641	1.00597400905922	-1.2345488750031	0.216998446218615	0.991345121261639	9.79876015548121e-06	5.59967353794434e-06
33	Acting on CH or CH2 groups	232.791274854322	-0.116718784912661	0.09219715460306	-1.26596949130562	0.205524005156028	0.991345121261639	0.00132588227690698	0.00121215630669591
34	Acting on diphenols and related substances as donors	6.85196934124429	0.534081552678248	0.589630111062479	0.905790838456104	0.365046571088458	0.991345121261639	3.53751973178754e-05	4.58551335744084e-05
35	Acting on ester bonds	2390.75474570577	0.0423509556653059	0.062082716984153	0.682169816699811	0.495131577905017	0.991345121261639	0.0130087658364674	0.0133093990135084
36	Acting on ether bonds	67.1983416171429	0.463858120194317	0.238371464534989	1.94594651293184	0.0516611649069579	0.952784871678911	0.000328822282125384	0.000439749797239155
37	Acting on halide bonds	21.1193929952024	-0.499336386067685	0.246924456218272	-2.0222232893217	0.04315328933	0.935550208895648	0.000137648859178941	8.94349473812539e-05
38	Acting on hydrogen as donor	76.8257770473138	0.335025888418723	0.193521877876861	1.73120420334027	0.0834153499435846	0.958587553947564	0.000411361807365385	0.000468817766308263
39	Acting on iron-sulfur proteins as donors	58.5724511672462	-0.123790493314446	0.144240201647072	-0.858224627398522	0.390768439649766	0.991345121261639	0.000357024771389046	0.000283575905259399
40	Acting on NADH or NADPH	147.107532396664	0.133213952476356	0.167938536814201	0.793230398474516	0.427643599714196	0.991345121261639	0.000767738781729607	0.000855266982124667
41	Acting on other nitrogenous compounds as donors	133.74817519871	-0.135025590635254	0.157257895539343	-0.858625191264072	0.390547335202606	0.991345121261639	0.000728293135112479	0.000716490972251955
42	Acting on paired donors, with incorporation or reduction of molecular oxygen	621.73553322136	0.0819366232632938	0.0773612341907542	1.05914317578308	0.289534579329197	0.991345121261639	0.00343309981782624	0.00349830506060783
43	Acting on peptide bonds (peptidases)	1376.09197312967	0.0275190348985496	0.0453540430247415	0.606760347330832	0.544009966739977	0.991345121261639	0.00767344339277312	0.00755132342223774
44	Acting on phosphorus or arsenic in donors	78.2822792528193	-0.197448642817786	0.204923651148841	-0.963522959457587	0.335285147882325	0.991345121261639	0.00045839889053592	0.000387828433608645
45	Acting on phosphorus-nitrogen bonds	0.457339968002022	-1.26466176429768	2.17486463789746	-0.581489874018224	0.560910340867074	0.991345121261639	4.67092580041372e-06	2.72734903829662e-07
46	Acting on reduced flavodoxin as donor	7.62248894610361	-0.392632055316583	0.304474923752	-1.28953823348812	0.197211033263216	0.991345121261639	4.54398343272403e-05	3.48248763559595e-05
47	Acting on single donors with incorporation of molecular oxygen (oxygenases)	202.789077065825	0.025617062321234	0.118428016359268	0.216309139583333	0.828746785347848	0.991345121261639	0.00112591342314663	0.00112483695540214
48	Acting on sulfur-nitrogen bonds	0	NA	NA	NA	NA	NA	0	0
49	Acting on superoxide as acceptor	5.9336863649184	0.575976909900033	0.58066784698619	0.99192147953343	0.321235830204246	0.991345121261639	6.3754771893112e-05	3.60163391461955e-05
50	Acting on the aldehyde or oxo group of donors	611.217900836409	-0.0227637501503184	0.108834134801432	-0.209160023110864	0.834323319099375	0.991345121261639	0.00334488509328446	0.00328296342384664
51	Acting on the CH-CH group of donors	660.704567655771	0.0143159218337781	0.0950934104206379	0.150545887148781	0.880333950518816	0.991345121261639	0.0035991576642468	0.00368275124733469
52	Acting on the CH-NH group of donors	510.804089873283	0.0212418591348956	0.10064325525395	0.211060930822406	0.832839726153061	0.991345121261639	0.00280673828732093	0.00283865172143375
53	Acting on the CH-NH2 group of donors	316.92165381321	0.239561070509698	0.152447317929861	1.57143512764138	0.116081611894683	0.991345121261639	0.00164899075284819	0.00190530337048986
54	Acting on the CH-OH group of donors	1742.98144109736	0.0746210646801963	0.0770543184899813	0.968421577693905	0.332833867381548	0.991345121261639	0.00953786369103993	0.00978658408584654
55	Acute myeloid leukemia	14.9004447952382	-0.380325944175619	0.419960594067565	-0.905622931170611	0.36513546717508	0.991345121261639	0.000100095379559991	7.07708834721892e-05
56	Acyltransferases	1900.20211942595	0.0787866966084208	0.117689955025658	0.669442830454344	0.503213037728964	0.991345121261639	0.0103467955919946	0.010838412328998
57	Adenylate cyclase	3.0444652115063	-0.397766840420445	0.736498542251556	-0.540078245374972	0.589143072743786	0.991345121261639	1.92214866660911e-05	1.22667167825215e-05
58	AdeS-AdeR	0.656275429390569	-0.983441954010583	1.59583880021263	-0.616253943618584	0.537726930771429	0.991345121261639	4.53869870699571e-06	3.35948536319151e-06
59	Adherens junction	30.707391899335	-0.264943458124113	0.208504462323639	-1.27068483413496	0.203840793044307	0.991345121261639	0.000194045687238968	0.000145181927530159
60	Adhesin protein transporter	5.70425117461057	0.352869395679066	0.305585333747973	1.15473275942651	0.24819987996103	0.991345121261639	2.95568910752786e-05	3.39890192882174e-05
61	Adipocytokine signaling pathway	80.3396841815335	-0.0445342824598514	0.143594281754029	-0.310139665144444	0.756454749917975	0.991345121261639	0.000458458505889972	0.000427185569035834
62	ADP-ribosyltransferase	26.9697318354187	-0.107015823255956	0.353349090039193	-0.302861465538474	0.761995438988599	0.991345121261639	0.000142363517178073	0.000146412115902633
63	Adrenergic signaling in cardiomyocytes	96.4602471782492	-0.0151739308584477	0.126835651338402	-0.119634587738767	0.904772619430572	0.991345121261639	0.000537010075456096	0.000524365284509443
64	Aflatoxin biosynthesis	13.104217185039	0.299761753841052	0.357300451155244	0.83896270735692	0.401490237015481	0.991345121261639	6.29708533989486e-05	8.72497568114676e-05
65	African trypanosomiasis	5.34985038846233	-0.0574785905709826	0.73140422999699	-0.0785866258542409	0.937361425658601	0.991345121261639	3.25360389073641e-05	2.75579472535945e-05
66	AGE-RAGE signaling pathway in diabetic complications	65.7206406927296	0.661979897242369	0.292038124057903	2.26675849044667	0.023404983151791	0.935550208895648	0.000305298074518817	0.000459263122633705
67	Aggrephagy	7.04634407045819	-0.392053495469915	0.53376689252274	-0.734503209101175	0.462642105042945	0.991345121261639	4.75841035415274e-05	2.86631073814891e-05
68	AgrC-AgrA (exoprotein synthesis)	4.73419304743266	1.35513114897868	0.917760831532929	1.47656241410435	0.139792973124046	0.991345121261639	1.64903130951666e-05	4.07938429008277e-05
69	AKT/PKB family	1.05195694820412	-1.25158012693251	1.47109345030816	-0.850782203313008	0.394890349430288	0.991345121261639	6.34738148514725e-06	6.28597036935182e-06
70	Alanine, aspartate and glutamate metabolism	371.71232947139	0.0382265823002563	0.0938094910969629	0.407491628546889	0.683646941424257	0.991345121261639	0.00197550811976092	0.00209169597921286
71	Alcoholism	115.273496516222	-0.0312791148167327	0.100501520971712	-0.311230263127427	0.755625578042649	0.991345121261639	0.000676177920698593	0.000601067191691084
72	Aldosterone synthesis and secretion	98.477689113789	0.0793173797294906	0.157713962522746	0.502919199167613	0.615021082122652	0.991345121261639	0.000525069879575693	0.000557027154172899
73	Aldosterone-regulated sodium reabsorption	22.2828590958032	0.0447141692275621	0.355375547372568	0.125822301388353	0.899872588110083	0.991345121261639	0.000126792484462442	0.000127176981769629
74	AlgE-type Mannuronan C-5-Epimerase transporter	135.878677791994	-0.0859795436632957	0.160297242627563	-0.536375687154283	0.591698931051333	0.991345121261639	0.00075330022659749	0.000705061344039543
75	AlgZ-AlgR (alginate production)	3.77591776879275	1.77178358314915	0.879186915871989	2.01525244650834	0.0438782047607287	0.935550208895648	1.06154664572095e-05	3.67742776994903e-05
76	Alpha Subunits	0.986444838507608	-0.633306996769801	1.64231630140912	-0.385618163947114	0.699779478906851	0.991345121261639	7.13320710470553e-06	5.82772272261937e-06
77	alpha-Hemolysin/cyclolysin transporter	136.013066684247	-0.0868656512260349	0.159638236157654	-0.544140635206272	0.586344699488689	0.991345121261639	0.000754237359521218	0.000705545450411687
78	alpha-Linolenic acid metabolism	56.9187084112827	0.0214751554564979	0.310843729170377	0.0690866613710168	0.944920638343015	0.991889730166966	0.00030928770301136	0.000312125922515122
79	ALS	12.8012022533858	0.327737640183319	0.534779379382565	0.612846442511885	0.539977879052654	0.991345121261639	6.12527429088686e-05	8.57152671391816e-05
80	Alzheimer disease	544.537281096606	-0.119736297622841	0.114401856473999	-1.04662897363082	0.295270733519779	0.991345121261639	0.00309623958502479	0.00281899075282038
81	Amidase	16.8017729993138	1.04130322270019	0.484739151795969	2.14817230843051	0.031700069676715	0.935550208895648	6.49646695456969e-05	0.00013091601773365
82	Amino acid ligase	74.6178284745469	-0.0226561846970611	0.162125952328963	-0.139744343034546	0.888861989459456	0.991345121261639	0.000405648667159903	0.000413070422750836
83	Amino acid metabolism	42.7058851134836	-0.0505797574730871	0.269076992986996	-0.18797503610995	0.85089622062441	0.991345121261639	0.000249175220944048	0.000237202184748208
84	Amino acid related enzymes	714.415775068299	0.118820111702261	0.0907704808721181	1.30901710072089	0.190528558156127	0.991345121261639	0.00377707021625811	0.00411000751783588
85	Amino sugar and nucleotide sugar metabolism	714.802544793052	0.0229935768329096	0.0579117051157256	0.397045412269614	0.691333972931856	0.991345121261639	0.00391865456922658	0.00399185436658773
86	Aminoacyl-tRNA biosynthesis	424.839148005336	-0.00796088635417292	0.110532027196992	-0.0720233452335483	0.942583329285087	0.991345121261639	0.00229922012308783	0.00233167119949714
87	Aminoacyl-tRNA synthetases (AARSs)	606.910698419367	0.0561385115419979	0.103289562795499	0.543506139658518	0.586781364775426	0.991345121261639	0.00322078922599469	0.0034233180079244
88	Aminobenzoate degradation	128.226104799411	-0.146768823105651	0.124156200659093	-1.18213043187949	0.237153951053676	0.991345121261639	0.00075195906250795	0.000667077146544708
89	Aminoglycoside resistance genes	68.5801641067122	-0.0899855278809896	0.167406661451134	-0.537526566153143	0.5909039393881	0.991345121261639	0.000415222607331357	0.000364962782212564
90	Amoebiasis	60.2823088838589	0.705129912292059	0.251269296493426	2.80627168592605	0.00501184154082259	0.935550208895648	0.000250756243573103	0.000430769500370776
91	Amphetamine addiction	85.9557583271606	0.0294001903629011	0.129499664674287	0.22702908487715	0.820401126132787	0.991345121261639	0.000478320239668348	0.000465997597237837
